country,year,author_count
AD,2022,2
AE,2014,4
AE,2015,4
AE,2016,5
AE,2017,17
AE,2018,47
AE,2019,54
AE,2020,104
AE,2021,142
AE,2022,193
AE,2023,71
AF,2018,2
AF,2019,1
AF,2020,1
AF,2021,4
AF,2022,3
AF,2023,3
AG,2017,3
AG,2018,7
AG,2019,8
AG,2020,14
AG,2021,21
AG,2022,19
AG,2023,4
AL,2015,1
AL,2018,2
AL,2019,2
AL,2020,5
AL,2021,5
AL,2022,7
AL,2023,2
AM,2018,1
AM,2019,2
AM,2020,10
AM,2021,17
AM,2022,19
AM,2023,9
AO,2017,1
AO,2019,2
AO,2020,1
AO,2021,1
AO,2022,2
AR,2014,4
AR,2015,1
AR,2016,25
AR,2017,58
AR,2018,102
AR,2019,154
AR,2020,218
AR,2021,354
AR,2022,427
AR,2023,100
AT,2004,1
AT,2013,1
AT,2014,20
AT,2015,22
AT,2016,69
AT,2017,216
AT,2018,443
AT,2019,580
AT,2020,854
AT,2021,1141
AT,2022,1236
AT,2023,346
AU,2004,1
AU,2006,1
AU,2009,1
AU,2011,1
AU,2013,6
AU,2014,30
AU,2015,149
AU,2016,388
AU,2017,1079
AU,2018,2072
AU,2019,3042
AU,2020,4101
AU,2021,5137
AU,2022,6040
AU,2023,1709
AZ,2015,1
AZ,2017,2
AZ,2018,5
AZ,2019,12
AZ,2020,12
AZ,2021,13
AZ,2022,21
AZ,2023,4
BA,2016,1
BA,2017,2
BA,2018,4
BA,2019,5
BA,2020,20
BA,2021,25
BA,2022,28
BA,2023,8
BB,2016,1
BB,2017,1
BB,2019,2
BB,2020,1
BB,2022,9
BD,2016,1
BD,2017,22
BD,2018,33
BD,2019,54
BD,2020,85
BD,2021,144
BD,2022,225
BD,2023,42
BE,2003,1
BE,2014,15
BE,2015,35
BE,2016,103
BE,2017,296
BE,2018,520
BE,2019,725
BE,2020,1083
BE,2021,1445
BE,2022,1693
BE,2023,450
BF,2017,3
BF,2018,5
BF,2019,2
BF,2020,5
BF,2021,14
BF,2022,25
BF,2023,3
BG,2014,5
BG,2015,1
BG,2016,2
BG,2017,10
BG,2018,22
BG,2019,30
BG,2020,64
BG,2021,108
BG,2022,116
BG,2023,31
BH,2014,2
BH,2015,1
BH,2016,4
BH,2017,6
BH,2018,12
BH,2019,3
BH,2020,10
BH,2021,11
BH,2022,13
BH,2023,8
BI,2017,1
BI,2019,3
BI,2020,2
BI,2021,3
BI,2022,2
BI,2023,3
BJ,2017,1
BJ,2018,3
BJ,2019,1
BJ,2020,3
BJ,2021,4
BJ,2022,3
BJ,2023,1
BM,2019,1
BN,2017,1
BN,2018,3
BN,2019,4
BN,2020,4
BN,2021,6
BN,2022,14
BN,2023,1
BO,2016,1
BO,2017,2
BO,2018,2
BO,2019,3
BO,2020,1
BO,2021,4
BO,2022,9
BO,2023,2
BR,2013,1
BR,2014,23
BR,2015,31
BR,2016,186
BR,2017,499
BR,2018,1176
BR,2019,2777
BR,2020,3808
BR,2021,4992
BR,2022,6223
BR,2023,1399
BS,2017,1
BS,2021,1
BS,2022,1
BT,2019,1
BT,2021,4
BT,2022,1
BT,2023,1
BW,2017,2
BW,2019,3
BW,2020,8
BW,2021,7
BW,2022,6
BW,2023,3
BY,2014,1
BY,2017,2
BY,2018,3
BY,2019,11
BY,2020,17
BY,2021,21
BY,2022,31
BY,2023,10
CA,1984,1
CA,1990,2
CA,2006,1
CA,2011,1
CA,2013,2
CA,2014,51
CA,2015,112
CA,2016,337
CA,2017,937
CA,2018,1626
CA,2019,2380
CA,2020,3312
CA,2021,4455
CA,2022,5350
CA,2023,1570
CD,2017,3
CD,2018,1
CD,2019,3
CD,2020,11
CD,2021,14
CD,2022,12
CD,2023,5
