c1,c2,period_start,period_end,collab_count
CA,CH,1990,1994,1
ES,GB,2005,2009,1
ES,GR,2005,2009,1
GB,GR,2005,2009,1
AU,GB,2005,2009,1
CN,US,2010,2014,7
IT,US,2010,2014,6
KR,US,2010,2014,6
AU,GB,2010,2014,5
AU,DE,2010,2014,4
GB,US,2010,2014,4
GB,IT,2010,2014,4
CA,US,2010,2014,4
JP,US,2010,2014,3
CN,GB,2010,2014,3
IN,US,2010,2014,3
DE,US,2010,2014,3
GB,JP,2010,2014,2
AE,US,2010,2014,2
MY,US,2010,2014,2
FR,IT,2010,2014,2
IR,MY,2010,2014,2
GR,US,2010,2014,2
TW,US,2010,2014,2
ES,PE,2010,2014,2
AU,US,2010,2014,2
KR,SE,2010,2014,2
IT,SE,2010,2014,2
ET,KR,2010,2014,2
DE,NL,2010,2014,2
IN,KR,2010,2014,2
AU,CH,2010,2014,2
CH,DE,2010,2014,2
AR,US,2010,2014,2
BR,US,2010,2014,2
DE,GB,2010,2014,2
CH,GB,2010,2014,2
GB,NL,2010,2014,2
DE,NZ,2010,2014,1
AU,RU,2010,2014,1
DE,RU,2010,2014,1
ES,GB,2010,2014,1
BY,US,2010,2014,1
AU,FR,2010,2014,1
AT,US,2010,2014,1
PL,US,2010,2014,1
BR,IN,2010,2014,1
BE,NL,2010,2014,1
EG,US,2010,2014,1
CN,SA,2010,2014,1
GB,SI,2010,2014,1
CN,TW,2010,2014,1
ES,FR,2010,2014,1
GB,GR,2010,2014,1
AU,TW,2010,2014,1
RS,RU,2010,2014,1
CA,IT,2010,2014,1
MY,SG,2010,2014,1
BH,CZ,2010,2014,1
BH,SE,2010,2014,1
CZ,SE,2010,2014,1
FR,US,2010,2014,1
KR,SI,2010,2014,1
SE,SI,2010,2014,1
AT,KR,2010,2014,1
ES,PA,2010,2014,1
GB,SA,2010,2014,1
IN,SA,2010,2014,1
GB,IE,2010,2014,1
IE,IT,2010,2014,1
JP,SG,2010,2014,1
AT,GB,2010,2014,1
NO,US,2010,2014,1
AU,BE,2010,2014,1
AU,MY,2010,2014,1
GB,MY,2010,2014,1
CH,ES,2010,2014,1
BR,CA,2010,2014,1
TW,YE,2010,2014,1
IN,TH,2010,2014,1
DK,NO,2010,2014,1
IT,JP,2010,2014,1
JP,SE,2010,2014,1
IT,PL,2010,2014,1
BE,US,2010,2014,1
ES,NO,2010,2014,1
DK,IT,2010,2014,1
CN,JP,2010,2014,1
AU,CN,2010,2014,1
IL,US,2010,2014,1
CH,PL,2010,2014,1
DE,IT,2010,2014,1
CH,CN,2010,2014,1
NO,SI,2010,2014,1
DE,ES,2010,2014,1
CN,KR,2010,2014,1
KR,VN,2010,2014,1
US,VN,2010,2014,1
IE,US,2010,2014,1
CA,GB,2010,2014,1
MY,PK,2010,2014,1
IN,TR,2010,2014,1
HU,NL,2010,2014,1
CA,MX,2010,2014,1
GB,SE,2010,2014,1
NL,SE,2010,2014,1
CA,DE,2010,2014,1
CA,SA,2010,2014,1
CN,IT,2010,2014,1
IQ,IR,2010,2014,1
IQ,MY,2010,2014,1
CN,US,2015,2019,1345
GB,US,2015,2019,1053
CA,US,2015,2019,783
DE,US,2015,2019,648
AU,US,2015,2019,522
FR,US,2015,2019,456
KR,US,2015,2019,455
IT,US,2015,2019,420
AU,GB,2015,2019,408
DE,GB,2015,2019,396
NL,US,2015,2019,387
JP,US,2015,2019,373
CH,US,2015,2019,327
ES,US,2015,2019,288
GB,IT,2015,2019,280
CA,GB,2015,2019,266
IN,US,2015,2019,263
GB,NL,2015,2019,257
CN,GB,2015,2019,245
FR,GB,2015,2019,232
CH,DE,2015,2019,229
BR,US,2015,2019,219
SE,US,2015,2019,214
ES,GB,2015,2019,205
DE,NL,2015,2019,199
AU,CN,2015,2019,184
CH,GB,2015,2019,174
CN,DE,2015,2019,168
DE,FR,2015,2019,168
DE,IT,2015,2019,158
DK,US,2015,2019,157
CA,DE,2015,2019,145
FR,IT,2015,2019,138
AU,DE,2015,2019,137
AU,CA,2015,2019,136
CN,KR,2015,2019,130
IL,US,2015,2019,130
CA,CN,2015,2019,130
GB,SE,2015,2019,129
BE,US,2015,2019,127
ES,FR,2015,2019,125
ES,IT,2015,2019,121
CN,TW,2015,2019,119
CH,IT,2015,2019,116
AU,NL,2015,2019,112
CH,FR,2015,2019,111
DE,ES,2015,2019,110
DK,GB,2015,2019,108
AT,DE,2015,2019,104
AT,US,2015,2019,100
TW,US,2015,2019,100
CA,NL,2015,2019,98
CA,FR,2015,2019,96
CN,JP,2015,2019,93
DE,SE,2015,2019,91
SG,US,2015,2019,90
GB,JP,2015,2019,90
CH,NL,2015,2019,87
BE,GB,2015,2019,87
CA,CH,2015,2019,87
DE,DK,2015,2019,85
FR,NL,2015,2019,85
CN,NL,2015,2019,84
GB,IE,2015,2019,82
IT,NL,2015,2019,82
CN,IT,2015,2019,81
CN,SG,2015,2019,81
BE,NL,2015,2019,78
CA,IT,2015,2019,77
IE,US,2015,2019,76
AU,FR,2015,2019,75
NO,US,2015,2019,75
AU,IT,2015,2019,75
BR,PT,2015,2019,75
CN,FR,2015,2019,73
FI,US,2015,2019,72
AU,CH,2015,2019,69
DE,JP,2015,2019,68
AU,ES,2015,2019,68
MX,US,2015,2019,66
CA,ES,2015,2019,65
BR,CA,2015,2019,64
DK,SE,2015,2019,63
TH,US,2015,2019,61
NL,SE,2015,2019,61
TR,US,2015,2019,60
FI,GB,2015,2019,60
BR,GB,2015,2019,60
BE,FR,2015,2019,59
GB,SG,2015,2019,58
FI,SE,2015,2019,58
BE,DE,2015,2019,58
PT,US,2015,2019,57
AT,GB,2015,2019,57
AU,SE,2015,2019,57
ES,NL,2015,2019,57
BR,DE,2015,2019,57
GB,NO,2015,2019,56
IT,SE,2015,2019,56
AU,DK,2015,2019,56
GB,GR,2015,2019,55
CH,CN,2015,2019,54
CA,SE,2015,2019,53
RU,US,2015,2019,51
EG,US,2015,2019,50
CH,ES,2015,2019,50
BR,IT,2015,2019,50
BE,IT,2015,2019,49
GB,PT,2015,2019,49
IR,US,2015,2019,49
AU,SG,2015,2019,48
DK,NL,2015,2019,47
CN,SE,2015,2019,47
GB,IN,2015,2019,46
ES,PT,2015,2019,45
AU,NZ,2015,2019,44
NZ,US,2015,2019,44
CA,JP,2015,2019,44
AU,BR,2015,2019,44
GR,US,2015,2019,43
GB,ZA,2015,2019,43
AT,IT,2015,2019,43
CL,US,2015,2019,42
CN,ES,2015,2019,41
CA,IN,2015,2019,41
FR,SE,2015,2019,41
GB,KR,2015,2019,39
PL,US,2015,2019,39
AT,NL,2015,2019,39
BR,ES,2015,2019,39
US,ZA,2015,2019,39
FR,JP,2015,2019,38
DE,IN,2015,2019,38
ES,SE,2015,2019,38
DE,IL,2015,2019,36
AR,US,2015,2019,36
DK,IT,2015,2019,35
CH,JP,2015,2019,35
BE,ES,2015,2019,34
JP,NL,2015,2019,34
GB,NZ,2015,2019,34
CA,DK,2015,2019,34
ES,MX,2015,2019,33
AT,CH,2015,2019,33
JP,KR,2015,2019,33
DK,ES,2015,2019,33
DE,FI,2015,2019,33
CZ,US,2015,2019,32
FR,PT,2015,2019,32
DE,PL,2015,2019,32
DE,NO,2015,2019,32
CH,SE,2015,2019,31
AU,FI,2015,2019,31
CL,ES,2015,2019,30
AU,IN,2015,2019,30
DK,FR,2015,2019,30
AT,FR,2015,2019,30
DE,PT,2015,2019,30
CN,DK,2015,2019,30
CA,KR,2015,2019,30
GB,IL,2015,2019,29
IT,JP,2015,2019,29
NL,NO,2015,2019,29
BE,CA,2015,2019,29
CN,IN,2015,2019,29
AU,JP,2015,2019,29
BR,FR,2015,2019,28
DE,GR,2015,2019,28
FI,NL,2015,2019,28
PK,US,2015,2019,27
AU,IE,2015,2019,27
DE,RU,2015,2019,27
AU,KR,2015,2019,27
AU,ZA,2015,2019,26
AT,AU,2015,2019,26
HU,US,2015,2019,26
JP,SG,2015,2019,26
NO,SE,2015,2019,26
AU,BE,2015,2019,25
DK,NO,2015,2019,25
CZ,DE,2015,2019,24
CH,DK,2015,2019,24
BE,CN,2015,2019,24
IT,PT,2015,2019,24
BE,CH,2015,2019,24
GR,IT,2015,2019,24
ET,KR,2015,2019,24
IT,PL,2015,2019,24
CA,IR,2015,2019,24
IN,IT,2015,2019,24
EG,SA,2015,2019,24
CA,NO,2015,2019,23
CN,FI,2015,2019,23
FR,IE,2015,2019,23
GB,PL,2015,2019,23
PE,US,2015,2019,23
CO,ES,2015,2019,23
SA,US,2015,2019,23
IE,IT,2015,2019,23
GB,TR,2015,2019,22
CN,US,2020,2024,4570
GB,US,2020,2024,3404
CA,US,2020,2024,2676
DE,US,2020,2024,2300
IT,US,2020,2024,1750
AU,US,2020,2024,1701
FR,US,2020,2024,1324
JP,US,2020,2024,1300
KR,US,2020,2024,1292
NL,US,2020,2024,1280
AU,GB,2020,2024,1230
ES,US,2020,2024,1227
DE,GB,2020,2024,1200
IN,US,2020,2024,1138
GB,IT,2020,2024,1104
CH,US,2020,2024,934
CA,GB,2020,2024,933
GB,NL,2020,2024,894
BR,US,2020,2024,877
CN,GB,2020,2024,823
FR,GB,2020,2024,808
DE,IT,2020,2024,805
CH,DE,2020,2024,762
ES,GB,2020,2024,757
ES,IT,2020,2024,755
FR,IT,2020,2024,732
DE,FR,2020,2024,725
DE,NL,2020,2024,701
SE,US,2020,2024,688
CN,DE,2020,2024,628
DK,US,2020,2024,567
AU,CN,2020,2024,559
DE,ES,2020,2024,559
CH,GB,2020,2024,545
AU,CA,2020,2024,539
CH,IT,2020,2024,534
IT,NL,2020,2024,495
CA,DE,2020,2024,494
CA,CN,2020,2024,492
GB,SE,2020,2024,486
BE,US,2020,2024,477
ES,FR,2020,2024,470
CA,FR,2020,2024,469
CN,TW,2020,2024,469
AT,DE,2020,2024,458
IL,US,2020,2024,450
AU,DE,2020,2024,429
CN,KR,2020,2024,424
TW,US,2020,2024,419
CN,JP,2020,2024,413
CH,FR,2020,2024,401
DK,GB,2020,2024,388
GB,IN,2020,2024,383
AT,US,2020,2024,381
BR,PT,2020,2024,380
SG,US,2020,2024,373
BE,GB,2020,2024,373
FR,NL,2020,2024,367
CA,IT,2020,2024,361
ES,NL,2020,2024,350
DE,SE,2020,2024,347
TR,US,2020,2024,337
CN,SG,2020,2024,334
PL,US,2020,2024,333
BE,NL,2020,2024,323
CA,NL,2020,2024,322
GB,JP,2020,2024,319
AU,NL,2020,2024,316
BE,IT,2020,2024,314
BE,FR,2020,2024,308
CA,ES,2020,2024,307
NO,US,2020,2024,304
EG,SA,2020,2024,302
DE,DK,2020,2024,299
CN,IT,2020,2024,296
BE,DE,2020,2024,294
BR,GB,2020,2024,285
CN,NL,2020,2024,285
AU,IT,2020,2024,280
BR,CA,2020,2024,280
CN,FR,2020,2024,268
IT,SE,2020,2024,264
AT,GB,2020,2024,263
CH,NL,2020,2024,260
PT,US,2020,2024,258
IE,US,2020,2024,257
IR,US,2020,2024,253
CA,CH,2020,2024,250
GB,IE,2020,2024,248
GR,US,2020,2024,248
RU,US,2020,2024,247
EG,US,2020,2024,246
MX,US,2020,2024,245
ES,PT,2020,2024,245
GB,NO,2020,2024,244
GB,GR,2020,2024,244
NL,SE,2020,2024,240
AT,IT,2020,2024,233
CH,ES,2020,2024,231
AU,ES,2020,2024,229
AU,FR,2020,2024,229
CN,ES,2020,2024,226
BR,ES,2020,2024,223
DE,JP,2020,2024,223
FI,US,2020,2024,219
BR,IT,2020,2024,217
GB,PT,2020,2024,217
IN,SA,2020,2024,211
DK,NL,2020,2024,202
US,ZA,2020,2024,201
IT,PL,2020,2024,199
CA,JP,2020,2024,198
DE,PL,2020,2024,197
BE,ES,2020,2024,195
NZ,US,2020,2024,194
DK,SE,2020,2024,193
ES,SE,2020,2024,193
BR,DE,2020,2024,193
CA,IN,2020,2024,190
SA,US,2020,2024,189
AU,CH,2020,2024,187
PK,SA,2020,2024,186
CN,IN,2020,2024,183
GB,SG,2020,2024,181
FR,SE,2020,2024,180
CN,SE,2020,2024,175
DK,IT,2020,2024,175
AU,NZ,2020,2024,175
DE,NO,2020,2024,172
JP,KR,2020,2024,172
GR,IT,2020,2024,171
AT,CH,2020,2024,170
CZ,US,2020,2024,170
AU,JP,2020,2024,169
DK,ES,2020,2024,168
NO,SE,2020,2024,166
AU,IN,2020,2024,166
PK,US,2020,2024,165
AU,DK,2020,2024,163
AU,SE,2020,2024,162
DE,PT,2020,2024,161
GB,KR,2020,2024,160
FR,JP,2020,2024,158
CH,CN,2020,2024,158
CL,ES,2020,2024,157
DK,FR,2020,2024,155
GB,TR,2020,2024,154
BR,FR,2020,2024,153
GB,PL,2020,2024,153
CA,SE,2020,2024,149
DE,GR,2020,2024,149
TH,US,2020,2024,149
AR,US,2020,2024,148
IT,NO,2020,2024,147
NL,NO,2020,2024,146
DE,IL,2020,2024,146
CO,US,2020,2024,145
