country,year,avg_funders
AE,2014,1.0
AE,2015,1.5
AE,2017,1.0
AE,2018,1.5
AE,2019,1.1333333333333333
AE,2020,1.75
AE,2021,1.6153846153846154
AE,2022,1.3235294117647058
AE,2023,1.3333333333333333
AG,2018,1.0
AM,2019,1.0
AM,2020,1.0
AM,2021,1.8571428571428572
AM,2022,2.0
AM,2023,1.1428571428571428
AR,2015,1.0
AR,2016,2.25
AR,2017,1.2222222222222223
AR,2018,1.7741935483870968
AR,2019,2.305084745762712
AR,2020,2.2048192771084336
AR,2021,2.149532710280374
AR,2022,2.017699115044248
AR,2023,2.142857142857143
AT,2004,1.0
AT,2014,1.5
AT,2015,1.5
AT,2016,1.7407407407407407
AT,2017,1.4202898550724639
AT,2018,1.5151515151515151
AT,2019,1.8117154811715481
AT,2020,1.8533007334963325
AT,2021,1.7726495726495726
AT,2022,1.7429906542056075
AT,2023,1.75
AU,2014,1.0
AU,2015,1.7391304347826086
AU,2016,2.753623188405797
AU,2017,2.1497005988023954
AU,2018,1.910386965376782
AU,2019,2.1664726426076832
AU,2020,2.5469940728196443
AU,2021,1.910621761658031
AU,2022,1.8983688833124215
AU,2023,1.8484848484848484
AZ,2017,1.0
AZ,2018,2.0
AZ,2019,1.3333333333333333
AZ,2020,1.4
AZ,2021,1.1818181818181819
AZ,2022,1.0
BA,2018,1.0
BA,2020,2.0
BA,2021,1.0
BA,2022,1.75
BA,2023,1.0
BB,2016,1.0
BB,2022,2.5
BD,2017,1.0
BD,2018,1.4285714285714286
BD,2019,1.4444444444444444
BD,2020,2.0285714285714285
BD,2021,1.1785714285714286
BD,2022,1.4310344827586208
BD,2023,1.5555555555555556
BE,2014,1.0
BE,2015,1.4285714285714286
BE,2016,2.3333333333333335
BE,2017,1.7708333333333333
BE,2018,1.7218045112781954
BE,2019,2.168067226890756
BE,2020,2.129032258064516
BE,2021,2.1004366812227073
BE,2022,1.7665505226480835
BE,2023,1.9784172661870503
BF,2017,1.0
BF,2018,1.0
BF,2021,1.3333333333333333
BF,2022,1.4
BF,2023,1.0
BG,2015,1.0
BG,2017,1.3333333333333333
BG,2018,1.3333333333333333
BG,2019,1.5555555555555556
BG,2020,1.2272727272727273
BG,2021,1.9375
BG,2022,1.326086956521739
BG,2023,1.5833333333333333
BH,2017,1.0
BH,2020,1.0
BH,2021,1.0
BH,2022,1.3333333333333333
BI,2019,3.0
BI,2020,2.0
BI,2022,1.0
BI,2023,3.0
BJ,2018,1.0
BJ,2021,4.0
BJ,2022,3.0
BM,2019,1.0
BN,2019,1.0
BN,2021,2.0
BN,2022,2.0
BO,2018,1.0
BO,2019,2.0
BO,2021,2.0
BO,2022,3.4
BR,2014,2.0
BR,2015,1.0
BR,2016,1.5714285714285714
BR,2017,1.6222222222222222
BR,2018,1.7425149700598803
BR,2019,1.7820224719101123
BR,2020,2.093243243243243
BR,2021,1.9368520263901978
BR,2022,1.988938053097345
BR,2023,1.9115044247787611
BS,2022,1.0
BW,2017,7.0
BW,2020,3.0
BW,2021,2.0
BW,2022,2.0
BY,2014,1.0
BY,2019,1.0
BY,2020,3.0
BY,2021,2.5555555555555554
BY,2022,2.2
BY,2023,1.0
CA,1984,1.0
CA,2011,2.0
CA,2013,3.0
CA,2014,1.0769230769230769
CA,2015,1.7297297297297298
CA,2016,1.951219512195122
CA,2017,1.5576208178438662
CA,2018,1.5986277873070327
CA,2019,1.8839662447257384
CA,2020,1.8143582306018855
CA,2021,1.7031893004115226
CA,2022,1.7829119442022667
CA,2023,1.9252873563218391
CD,2020,1.3333333333333333
CD,2021,1.0
CD,2022,1.0
CD,2023,2.0
CG,2016,1.0
CG,2021,1.0
CG,2022,1.0
CH,2014,2.0
CH,2015,2.25
CH,2016,2.4242424242424243
CH,2017,2.3152173913043477
CH,2018,1.6216216216216217
CH,2019,1.94750656167979
CH,2020,2.0346820809248554
CH,2021,1.9003783102143759
CH,2022,1.8098693759071118
CH,2023,1.8268156424581006
CI,2022,1.0
CL,2016,1.2
CL,2017,2.0
CL,2018,1.967741935483871
CL,2019,1.8214285714285714
CL,2020,2.009009009009009
CL,2021,1.921875
CL,2022,2.2485549132947975
CL,2023,1.7714285714285714
CM,2018,2.0
CM,2019,2.0
CM,2020,2.5
CM,2021,2.5
CM,2022,1.2142857142857142
CN,2014,1.9333333333333333
CN,2015,1.7647058823529411
CN,2016,2.2323232323232323
CN,2017,2.080091533180778
CN,2018,2.2338028169014086
CN,2019,2.493141048188533
CN,2020,2.4312996031746033
CN,2021,2.366637856525497
CN,2022,2.413384903891233
CN,2023,2.533882203926536
CO,2016,1.6666666666666667
CO,2017,2.0
CO,2018,1.6
CO,2019,2.263157894736842
CO,2020,1.4
CO,2021,1.639344262295082
CO,2022,1.627906976744186
CO,2023,2.0952380952380953
CR,2016,5.0
CR,2018,3.0
CR,2019,1.5
CR,2020,2.2
CR,2021,1.3333333333333333
CR,2022,1.0
CR,2023,4.0
CU,2019,1.0
CU,2020,1.75
CU,2021,4.0
CU,2022,1.4615384615384615
CU,2023,1.75
CV,2022,1.0
CW,2021,1.0
CY,2017,2.0
CY,2018,2.0
CY,2019,3.75
CY,2020,1.25
CY,2021,1.4166666666666667
CY,2022,1.5263157894736843
CY,2023,1.1428571428571428
CZ,2014,1.0
CZ,2015,4.0
CZ,2016,1.6666666666666667
CZ,2017,1.7
CZ,2018,1.9473684210526316
CZ,2019,2.227272727272727
CZ,2020,1.9794238683127572
CZ,2021,2.1482479784366575
CZ,2022,2.03971119133574
CZ,2023,2.426470588235294
DE,2014,1.2
DE,2015,2.608695652173913
DE,2016,2.1746031746031744
DE,2017,1.8130081300813008
DE,2018,2.0030816640986133
DE,2019,2.4234234234234235
DE,2020,2.2152317880794703
DE,2021,1.9880013712718547
DE,2022,1.9065510597302504
DE,2023,2.1637107776261937
DK,2015,1.75
DK,2016,2.0625
DK,2017,2.56
DK,2018,2.537878787878788
DK,2019,2.4313725490196076
DK,2020,2.2457002457002457
DK,2021,1.9190751445086704
DK,2022,2.0637958532695375
DK,2023,1.9543147208121827
DO,2018,3.0
DO,2020,6.0
DO,2021,2.0
DO,2022,2.3333333333333335
DO,2023,1.0
DZ,2020,1.5
DZ,2021,2.0
EC,2017,1.0
EC,2018,1.0
EC,2019,1.5
EC,2020,1.7142857142857142
EC,2021,1.375
EC,2022,2.5
EC,2023,1.0
EE,2016,1.0
EE,2017,3.0
EE,2018,4.0
EE,2019,2.3
EE,2020,4.05
EE,2021,1.84375
EE,2022,3.3333333333333335
EE,2023,1.7142857142857142
EG,2017,1.5
EG,2018,1.5
EG,2019,1.4230769230769231
EG,2020,1.3333333333333333
EG,2021,1.483695652173913
EG,2022,1.2050359712230216
EG,2023,1.3333333333333333
ER,2021,2.0
ES,2014,2.0
ES,2015,1.5555555555555556
ES,2016,2.2857142857142856
ES,2017,1.8189655172413792
ES,2018,2.12531328320802
ES,2019,2.5490628445424477
ES,2020,2.7047923322683705
ES,2021,2.5765702187720536
ES,2022,2.4581066376496192
ES,2023,2.4321608040201004
ET,2017,7.0
ET,2018,1.25
ET,2019,1.3888888888888888
ET,2020,1.2105263157894737
ET,2021,1.3
ET,2022,1.2592592592592593
ET,2023,1.0
FI,2014,1.5
FI,2015,1.0
FI,2016,1.3333333333333333
FI,2017,1.911764705882353
FI,2018,3.3333333333333335
FI,2019,2.6149068322981366
FI,2020,2.5245098039215685
FI,2021,2.13677811550152
FI,2022,2.196319018404908
FI,2023,2.4767441860465116
FJ,2019,2.0
FJ,2020,4.0
FJ,2021,1.0
FJ,2022,1.5
FO,2022,1.0
FO,2023,2.0
FR,2014,1.5
FR,2015,1.7142857142857142
FR,2016,2.3278688524590163
FR,2017,1.7009345794392523
FR,2018,2.198300283286119
FR,2019,2.3164128595600677
FR,2020,2.1466836734693877
FR,2021,2.070336391437309
FR,2022,2.0713166144200628
FR,2023,2.0240641711229945
GA,2018,1.0
GB,2006,1.0
GB,2007,1.0
GB,2008,1.0
GB,2014,1.588235294117647
GB,2015,1.9090909090909092
GB,2016,2.12253829321663
GB,2017,1.8529657477025898
GB,2018,2.0327793167128347
GB,2019,2.270919881305638
GB,2020,2.1845483723062817
GB,2021,2.0912470429199055
GB,2022,1.9524660471765547
GB,2023,2.2469670710571923
GD,2019,1.0
GD,2020,1.0
GD,2021,2.0
GD,2022,1.5
GD,2023,1.0
GE,2018,3.5
GE,2019,1.3636363636363635
GE,2020,1.8181818181818181
GE,2021,2.0526315789473686
GE,2022,1.75
GE,2023,1.0
GH,2017,1.0
GH,2018,1.0
GH,2019,1.2857142857142858
GH,2020,1.375
GH,2021,1.7741935483870968
GH,2022,1.4615384615384615
GL,2019,1.0
GM,2018,1.0
GM,2019,2.0
GM,2020,2.0
GM,2021,1.0
GM,2022,1.0
GM,2023,1.0
GN,2019,1.0
GN,2022,1.0
GP,2022,1.0
GR,2016,1.125
GR,2017,1.5
GR,2018,1.6875
GR,2019,2.4918032786885247
GR,2020,1.5604395604395604
GR,2021,1.733009708737864
GR,2022,1.3654618473895583
GR,2023,1.2419354838709677
GT,2020,1.0
GT,2021,2.0
GT,2022,1.0
GY,2015,1.0
HN,2021,2.0
HN,2022,1.0
HR,2016,1.0
HR,2017,1.3333333333333333
HR,2018,2.642857142857143
HR,2019,1.8461538461538463
HR,2020,1.434782608695652
HR,2021,1.7391304347826086
HR,2022,1.3836477987421383
HR,2023,1.3728813559322033
HT,2021,1.0
HU,2015,1.0
HU,2016,2.6666666666666665
HU,2017,1.2666666666666666
HU,2018,1.702127659574468
HU,2019,2.123456790123457
HU,2020,2.696335078534031
HU,2021,2.8127090301003346
HU,2022,2.3934426229508197
HU,2023,3.1875
ID,2017,1.0
ID,2018,1.3333333333333333
ID,2019,1.32
ID,2020,1.380952380952381
ID,2021,1.318840579710145
ID,2022,1.3088235294117647
ID,2023,1.0526315789473684
IE,2014,1.5
IE,2015,4.0
IE,2016,2.5
IE,2017,2.0
IE,2018,1.8166666666666667
IE,2019,2.1913043478260867
IE,2020,2.587378640776699
IE,2021,1.7342995169082125
IE,2022,1.625
IE,2023,2.365079365079365
IL,2008,1.0
IL,2014,1.0
IL,2015,2.3333333333333335
IL,2016,2.066666666666667
IL,2017,1.78125
IL,2018,2.097560975609756
IL,2019,2.0155038759689923
IL,2020,1.9217877094972067
IL,2021,2.04040404040404
IL,2022,1.8699186991869918
IL,2023,2.324675324675325
IN,2015,1.5
IN,2016,1.6363636363636365
IN,2017,1.7551020408163265
IN,2018,1.8616352201257862
IN,2019,1.9361702127659575
IN,2020,1.7700534759358288
IN,2021,1.5847619047619048
IN,2022,1.6293823038397328
IN,2023,1.5180722891566265
IQ,2017,2.0
IQ,2019,2.0
IQ,2020,1.1875
IQ,2021,1.625
IQ,2022,1.4666666666666666
IQ,2023,1.0
IR,2015,2.0
IR,2016,1.3333333333333333
IR,2017,2.0
IR,2018,1.5384615384615385
IR,2019,1.1192660550458715
IR,2020,1.215962441314554
IR,2021,1.2374581939799332
IR,2022,1.2156133828996283
IR,2023,1.3333333333333333
IS,2015,5.0
IS,2016,1.3333333333333333
IS,2017,4.333333333333333
IS,2018,1.7777777777777777
IS,2019,3.4864864864864864
IS,2020,3.533333333333333
IS,2021,1.75
IS,2022,1.596774193548387
IS,2023,1.0
IT,2014,1.0
IT,2015,1.5263157894736843
IT,2016,2.1176470588235294
IT,2017,1.9121951219512194
IT,2018,1.6701030927835052
IT,2019,1.7087378640776698
IT,2020,1.7851099830795263
IT,2021,1.7263525305410121
IT,2022,1.6801181102362204
IT,2023,1.659316427783903
JE,2022,1.0
JM,2018,1.0
JM,2019,1.4
JM,2020,2.0
JM,2021,2.0
JM,2022,1.6666666666666667
JM,2023,2.0
JO,2017,1.5
JO,2018,1.2
JO,2019,1.25
JO,2020,1.411764705882353
JO,2021,1.3636363636363635
