organ,c1,c2,period_start,period_end,collab_count
liver,FR,IT,2010,2014,2
liver,KR,US,2010,2014,2
liver,IN,KR,2010,2014,2
liver,CN,US,2010,2014,2
liver,AE,US,2010,2014,1
liver,BR,IN,2010,2014,1
liver,MY,US,2010,2014,1
liver,IR,MY,2010,2014,1
liver,GR,US,2010,2014,1
liver,MY,SG,2010,2014,1
liver,GB,SA,2010,2014,1
liver,IN,TH,2010,2014,1
liver,AR,US,2010,2014,1
liver,IL,US,2010,2014,1
liver,DE,ES,2010,2014,1
liver,CN,KR,2010,2014,1
liver,CA,US,2010,2014,1
liver,KR,VN,2010,2014,1
liver,US,VN,2010,2014,1
liver,IN,US,2010,2014,1
liver,KR,SE,2010,2014,1
liver,MY,PK,2010,2014,1
liver,CN,US,2015,2019,350
liver,GB,US,2015,2019,155
liver,CA,US,2015,2019,116
liver,KR,US,2015,2019,104
liver,AU,US,2015,2019,90
liver,DE,US,2015,2019,87
liver,CH,US,2015,2019,71
liver,IN,US,2015,2019,71
liver,AU,GB,2015,2019,70
liver,IT,US,2015,2019,65
liver,GB,IT,2015,2019,64
liver,DE,GB,2015,2019,59
liver,ES,US,2015,2019,55
liver,FR,US,2015,2019,54
liver,AU,CN,2015,2019,49
liver,JP,US,2015,2019,48
liver,CN,GB,2015,2019,48
liver,CA,GB,2015,2019,47
liver,ES,GB,2015,2019,47
liver,NL,US,2015,2019,43
liver,GB,NL,2015,2019,40
liver,CN,KR,2015,2019,39
liver,CN,SG,2015,2019,39
liver,DE,IT,2015,2019,37
liver,BR,US,2015,2019,37
liver,FR,GB,2015,2019,37
liver,CH,GB,2015,2019,35
liver,SE,US,2015,2019,34
liver,CH,DE,2015,2019,33
liver,ES,IT,2015,2019,33
liver,FR,IT,2015,2019,31
liver,DE,NL,2015,2019,29
liver,CA,CN,2015,2019,28
liver,CN,TW,2015,2019,28
liver,ES,FR,2015,2019,28
liver,CN,DE,2015,2019,28
liver,CN,JP,2015,2019,27
liver,TW,US,2015,2019,25
liver,DE,ES,2015,2019,25
liver,CN,IT,2015,2019,25
liver,AU,DE,2015,2019,23
liver,CN,FR,2015,2019,23
liver,IL,US,2015,2019,22
liver,SG,US,2015,2019,22
liver,DK,US,2015,2019,22
liver,GB,SE,2015,2019,21
liver,DE,FR,2015,2019,20
liver,IE,US,2015,2019,20
liver,BR,PT,2015,2019,20
liver,AU,CA,2015,2019,19
liver,CN,US,2020,2024,1038
liver,GB,US,2020,2024,652
liver,CA,US,2020,2024,454
liver,DE,US,2020,2024,321
liver,IN,US,2020,2024,307
liver,IT,US,2020,2024,298
liver,AU,US,2020,2024,292
liver,KR,US,2020,2024,281
liver,ES,US,2020,2024,265
liver,AU,GB,2020,2024,260
liver,JP,US,2020,2024,241
liver,DE,GB,2020,2024,205
liver,GB,IT,2020,2024,196
liver,FR,US,2020,2024,192
liver,NL,US,2020,2024,181
liver,ES,GB,2020,2024,174
liver,CA,GB,2020,2024,167
liver,CH,US,2020,2024,165
liver,CN,GB,2020,2024,163
liver,AU,CN,2020,2024,158
liver,ES,IT,2020,2024,155
liver,GB,NL,2020,2024,152
liver,BR,US,2020,2024,146
liver,SE,US,2020,2024,146
liver,CN,SG,2020,2024,141
liver,FR,IT,2020,2024,140
liver,EG,SA,2020,2024,139
liver,DE,ES,2020,2024,133
liver,CN,DE,2020,2024,125
liver,CN,KR,2020,2024,123
liver,DE,IT,2020,2024,122
liver,CH,DE,2020,2024,122
liver,FR,GB,2020,2024,116
liver,DE,NL,2020,2024,112
liver,SG,US,2020,2024,108
liver,DE,FR,2020,2024,107
liver,ES,FR,2020,2024,106
liver,AU,CA,2020,2024,105
liver,CH,GB,2020,2024,104
liver,DK,US,2020,2024,102
liver,GB,IN,2020,2024,101
liver,CN,TW,2020,2024,100
liver,TW,US,2020,2024,98
liver,CA,CN,2020,2024,97
liver,IN,SA,2020,2024,97
liver,GB,SE,2020,2024,93
liver,CN,IT,2020,2024,92
liver,PK,SA,2020,2024,88
liver,BR,PT,2020,2024,83
liver,CN,JP,2020,2024,83
brain,ES,GB,2005,2009,1
brain,ES,GR,2005,2009,1
brain,GB,GR,2005,2009,1
brain,IT,US,2010,2014,3
brain,CN,US,2010,2014,3
brain,AU,GB,2010,2014,2
brain,GB,US,2010,2014,2
brain,ET,KR,2010,2014,2
brain,DE,US,2010,2014,2
brain,BY,US,2010,2014,1
brain,AU,FR,2010,2014,1
brain,CN,SA,2010,2014,1
brain,CN,TW,2010,2014,1
brain,ES,FR,2010,2014,1
brain,CA,IT,2010,2014,1
brain,IT,SE,2010,2014,1
brain,IN,SA,2010,2014,1
brain,JP,SG,2010,2014,1
brain,AT,GB,2010,2014,1
brain,JP,US,2010,2014,1
brain,AU,BE,2010,2014,1
brain,CA,US,2010,2014,1
brain,CH,ES,2010,2014,1
brain,AU,CH,2010,2014,1
brain,AU,DE,2010,2014,1
brain,CH,DE,2010,2014,1
brain,BE,US,2010,2014,1
brain,DE,GB,2010,2014,1
brain,CH,CN,2010,2014,1
brain,CH,GB,2010,2014,1
brain,CN,GB,2010,2014,1
brain,MY,US,2010,2014,1
brain,AR,US,2010,2014,1
brain,IE,US,2010,2014,1
brain,CA,GB,2010,2014,1
brain,BR,US,2010,2014,1
brain,HU,NL,2010,2014,1
brain,GB,NL,2010,2014,1
brain,GB,US,2015,2019,335
brain,CN,US,2015,2019,334
brain,CA,US,2015,2019,260
brain,DE,US,2015,2019,220
brain,FR,US,2015,2019,160
brain,DE,GB,2015,2019,134
brain,NL,US,2015,2019,131
brain,IT,US,2015,2019,128
brain,AU,US,2015,2019,124
brain,KR,US,2015,2019,99
brain,JP,US,2015,2019,98
brain,CH,US,2015,2019,93
brain,AU,GB,2015,2019,90
brain,ES,US,2015,2019,90
brain,GB,NL,2015,2019,71
brain,DE,NL,2015,2019,69
brain,CN,GB,2015,2019,69
brain,CA,GB,2015,2019,69
brain,DE,FR,2015,2019,68
brain,CA,DE,2015,2019,65
brain,FR,GB,2015,2019,65
brain,GB,IT,2015,2019,62
brain,IN,US,2015,2019,61
brain,CH,DE,2015,2019,60
brain,BR,US,2015,2019,55
brain,IL,US,2015,2019,53
brain,CN,DE,2015,2019,49
brain,ES,GB,2015,2019,48
brain,BE,US,2015,2019,45
brain,SE,US,2015,2019,44
brain,AU,DE,2015,2019,43
brain,CA,NL,2015,2019,41
brain,AT,US,2015,2019,41
brain,AU,CA,2015,2019,39
brain,DE,IT,2015,2019,37
brain,CH,GB,2015,2019,37
brain,FR,IT,2015,2019,36
brain,ES,FR,2015,2019,36
brain,DK,US,2015,2019,35
brain,AU,CN,2015,2019,34
brain,NO,US,2015,2019,32
brain,CH,FR,2015,2019,32
brain,CA,FR,2015,2019,32
brain,CA,CN,2015,2019,32
brain,AU,NL,2015,2019,30
brain,DK,GB,2015,2019,30
brain,CH,IT,2015,2019,30
brain,BE,GB,2015,2019,28
brain,CA,CH,2015,2019,28
brain,FR,NL,2015,2019,28
brain,CN,US,2020,2024,1047
brain,GB,US,2020,2024,788
brain,CA,US,2020,2024,690
brain,DE,US,2020,2024,681
brain,AU,US,2020,2024,393
brain,NL,US,2020,2024,391
brain,FR,US,2020,2024,359
brain,IT,US,2020,2024,357
brain,DE,GB,2020,2024,345
brain,ES,US,2020,2024,290
brain,CA,GB,2020,2024,274
brain,CH,US,2020,2024,245
brain,KR,US,2020,2024,235
brain,GB,NL,2020,2024,226
brain,JP,US,2020,2024,221
brain,GB,IT,2020,2024,218
brain,CN,GB,2020,2024,215
brain,AU,GB,2020,2024,202
brain,CH,DE,2020,2024,195
brain,DE,NL,2020,2024,189
brain,FR,GB,2020,2024,186
brain,CA,DE,2020,2024,186
brain,IN,US,2020,2024,176
brain,SE,US,2020,2024,175
brain,DE,FR,2020,2024,173
brain,CN,DE,2020,2024,167
brain,DE,IT,2020,2024,161
brain,ES,GB,2020,2024,155
brain,BR,US,2020,2024,136
brain,AU,CN,2020,2024,133
brain,CH,GB,2020,2024,132
brain,CA,FR,2020,2024,129
brain,FR,IT,2020,2024,127
brain,IL,US,2020,2024,127
brain,DE,ES,2020,2024,126
brain,ES,IT,2020,2024,125
brain,AU,CA,2020,2024,123
brain,CA,CN,2020,2024,120
brain,BE,US,2020,2024,113
brain,CH,IT,2020,2024,113
brain,DK,US,2020,2024,112
brain,CA,NL,2020,2024,107
brain,AU,DE,2020,2024,107
brain,GB,SE,2020,2024,105
brain,NO,US,2020,2024,101
brain,IT,NL,2020,2024,97
brain,CH,FR,2020,2024,94
brain,CA,IT,2020,2024,91
brain,AT,US,2020,2024,90
brain,AT,DE,2020,2024,90
heart,IT,US,2010,2014,2
heart,TW,US,2010,2014,2
heart,ES,GB,2010,2014,1
heart,GR,US,2010,2014,1
heart,AU,TW,2010,2014,1
heart,AU,US,2010,2014,1
heart,RS,RU,2010,2014,1
heart,ES,PA,2010,2014,1
heart,DE,NL,2010,2014,1
heart,CH,ES,2010,2014,1
heart,DK,NO,2010,2014,1
heart,CN,US,2010,2014,1
heart,IT,PL,2010,2014,1
heart,KR,US,2010,2014,1
heart,IN,TR,2010,2014,1
heart,GB,NL,2010,2014,1
heart,GB,SE,2010,2014,1
heart,NL,SE,2010,2014,1
heart,GB,IT,2010,2014,1
heart,CN,IT,2010,2014,1
heart,CN,US,2015,2019,100
heart,GB,US,2015,2019,96
heart,CA,US,2015,2019,69
heart,AU,US,2015,2019,47
heart,DE,US,2015,2019,42
heart,AU,GB,2015,2019,37
heart,NL,US,2015,2019,37
heart,BR,US,2015,2019,35
heart,GB,IT,2015,2019,34
heart,KR,US,2015,2019,33
heart,DE,GB,2015,2019,32
heart,IT,US,2015,2019,32
heart,SE,US,2015,2019,29
heart,GB,NL,2015,2019,27
heart,FR,GB,2015,2019,27
heart,CA,GB,2015,2019,26
heart,FR,US,2015,2019,26
heart,CH,DE,2015,2019,25
heart,JP,US,2015,2019,24
heart,CN,GB,2015,2019,22
heart,IN,US,2015,2019,20
heart,DE,NL,2015,2019,16
heart,ES,US,2015,2019,16
heart,AU,CN,2015,2019,16
heart,CH,US,2015,2019,16
heart,CH,GB,2015,2019,16
heart,AU,CA,2015,2019,15
heart,BR,CA,2015,2019,15
heart,CN,TW,2015,2019,15
heart,ES,GB,2015,2019,15
heart,GB,JP,2015,2019,15
heart,BE,US,2015,2019,14
heart,BR,GB,2015,2019,14
heart,DK,GB,2015,2019,14
heart,BR,PT,2015,2019,14
heart,IL,US,2015,2019,13
heart,DK,US,2015,2019,13
heart,GB,SG,2015,2019,12
heart,DE,IT,2015,2019,12
heart,CH,IT,2015,2019,12
heart,BE,NL,2015,2019,11
heart,AT,DE,2015,2019,11
heart,DE,FR,2015,2019,11
heart,CH,FR,2015,2019,11
heart,CA,FR,2015,2019,10
heart,ES,FR,2015,2019,10
heart,AU,DE,2015,2019,10
heart,IT,RS,2015,2019,10
heart,IT,NL,2015,2019,9
heart,GB,NZ,2015,2019,9
