country,year,pub_count
AD,2022,2
AE,2014,3
AE,2015,4
AE,2016,4
AE,2017,16
AE,2018,45
AE,2019,56
AE,2020,93
AE,2021,152
AE,2022,192
AE,2023,49
AF,2018,4
AF,2019,1
AF,2020,2
AF,2021,5
AF,2022,3
AF,2023,3
AG,2017,3
AG,2018,7
AG,2019,9
AG,2020,12
AG,2021,21
AG,2022,17
AG,2023,4
AL,2015,1
AL,2018,3
AL,2019,2
AL,2020,6
AL,2021,7
AL,2022,9
AL,2023,2
AM,2018,1
AM,2019,3
AM,2020,8
AM,2021,13
AM,2022,16
AM,2023,4
AO,2017,1
AO,2019,2
AO,2020,3
AO,2021,4
AO,2022,7
AR,2014,2
AR,2015,1
AR,2016,21
AR,2017,62
AR,2018,103
AR,2019,136
AR,2020,182
AR,2021,276
AR,2022,289
AR,2023,61
AT,2004,1
AT,2013,1
AT,2014,16
AT,2015,21
AT,2016,72
AT,2017,201
AT,2018,397
AT,2019,448
AT,2020,668
AT,2021,888
AT,2022,936
AT,2023,208
AU,2004,1
AU,2006,1
AU,2009,1
AU,2011,1
AU,2013,5
AU,2014,24
AU,2015,130
AU,2016,342
AU,2017,965
AU,2018,1828
AU,2019,2515
AU,2020,3029
AU,2021,3640
AU,2022,4126
AU,2023,911
AZ,2015,1
AZ,2017,3
AZ,2018,6
AZ,2019,15
AZ,2020,15
AZ,2021,23
AZ,2022,25
AZ,2023,4
BA,2016,1
BA,2017,2
BA,2018,4
BA,2019,4
BA,2020,12
BA,2021,16
BA,2022,23
BA,2023,6
BB,2016,1
BB,2017,1
BB,2019,2
BB,2020,1
BB,2022,6
BD,2016,1
BD,2017,19
BD,2018,38
BD,2019,52
BD,2020,84
BD,2021,110
BD,2022,182
BD,2023,33
BE,2003,1
BE,2014,12
BE,2015,33
BE,2016,96
BE,2017,257
BE,2018,427
BE,2019,600
BE,2020,839
BE,2021,1133
BE,2022,1203
BE,2023,278
BF,2017,4
BF,2018,6
BF,2019,2
BF,2020,6
BF,2021,11
BF,2022,14
BF,2023,3
BG,2014,3
BG,2015,1
BG,2016,2
BG,2017,11
BG,2018,18
BG,2019,28
BG,2020,56
BG,2021,83
BG,2022,82
BG,2023,18
BH,2014,2
BH,2015,1
BH,2016,4
BH,2017,9
BH,2018,15
BH,2019,14
BH,2020,7
BH,2021,13
BH,2022,16
BH,2023,7
BI,2017,1
BI,2019,3
BI,2020,1
BI,2021,2
BI,2022,2
BI,2023,1
BJ,2017,1
BJ,2018,4
BJ,2019,4
BJ,2020,3
BJ,2021,9
BJ,2022,6
BJ,2023,1
BM,2019,1
BN,2017,2
BN,2018,4
BN,2019,3
BN,2020,3
BN,2021,5
BN,2022,17
BN,2023,1
BO,2016,1
BO,2017,1
BO,2018,2
BO,2019,3
BO,2020,1
BO,2021,7
BO,2022,10
BO,2023,2
BR,2013,1
BR,2014,24
BR,2015,31
BR,2016,127
BR,2017,423
BR,2018,905
BR,2019,1642
BR,2020,2014
BR,2021,2464
BR,2022,2389
BR,2023,473
BS,2017,1
BS,2021,1
BS,2022,1
BT,2019,1
BT,2021,3
BT,2022,2
BT,2023,1
BW,2017,2
BW,2019,3
BW,2020,6
BW,2021,8
BW,2022,6
BW,2023,2
BY,2014,1
BY,2017,2
BY,2018,6
BY,2019,7
BY,2020,16
BY,2021,19
BY,2022,21
BY,2023,6
CA,1984,1
CA,1990,2
CA,2006,1
CA,2011,1
CA,2013,2
CA,2014,39
CA,2015,97
CA,2016,289
CA,2017,930
CA,2018,1644
CA,2019,2223
CA,2020,2825
CA,2021,3881
CA,2022,4178
CA,2023,965
CD,2017,3
CD,2018,2
CD,2019,3
CD,2020,9
CD,2021,12
CD,2022,11
CD,2023,4
CF,2021,1
CG,2016,1
CG,2018,1
CG,2019,1
CG,2021,6
CG,2022,4
CH,1990,1
CH,2013,1
CH,2014,16
CH,2015,36
CH,2016,164
CH,2017,430
CH,2018,824
CH,2019,1030
CH,2020,1305
CH,2021,1694
CH,2022,1827
CH,2023,403
CI,2019,1
CI,2020,2
CI,2021,1
CI,2022,3
CI,2023,1
CL,2012,1
CL,2015,6
CL,2016,20
CL,2017,55
CL,2018,96
CL,2019,169
CL,2020,226
CL,2021,271
CL,2022,258
CL,2023,73
CM,2016,2
CM,2017,8
CM,2018,12
CM,2019,14
CM,2020,23
CM,2021,26
CM,2022,20
CM,2023,3
CN,2006,1
CN,2011,2
CN,2012,4
CN,2014,126
CN,2015,102
CN,2016,528
CN,2017,2418
CN,2018,4926
CN,2019,7511
CN,2020,10397
CN,2021,13126
CN,2022,19753
CN,2023,4717
CO,2014,2
CO,2016,14
CO,2017,32
CO,2018,76
CO,2019,103
CO,2020,188
CO,2021,213
CO,2022,252
CO,2023,60
CR,2016,2
CR,2017,2
CR,2018,8
CR,2019,12
CR,2020,15
CR,2021,19
CR,2022,14
CR,2023,4
CU,2017,3
CU,2018,5
CU,2019,5
CU,2020,9
CU,2021,21
CU,2022,18
CU,2023,6
CV,2018,1
CV,2022,1
CW,2021,2
CW,2022,2
CY,2016,2
CY,2017,11
CY,2018,32
CY,2019,40
CY,2020,49
CY,2021,60
CY,2022,87
CY,2023,21
CZ,2012,1
CZ,2014,12
CZ,2015,10
CZ,2016,36
CZ,2017,90
CZ,2018,172
CZ,2019,220
CZ,2020,329
CZ,2021,428
CZ,2022,403
CZ,2023,73
DE,2002,1
DE,2005,1
DE,2009,1
DE,2011,1
DE,2013,4
DE,2014,50
DE,2015,102
DE,2016,440
DE,2017,1392
DE,2018,2418
DE,2019,3182
DE,2020,4137
DE,2021,5585
DE,2022,5940
DE,2023,1366
DK,2011,1
DK,2012,1
DK,2014,10
DK,2015,29
DK,2016,136
DK,2017,352
DK,2018,566
DK,2019,813
DK,2020,970
DK,2021,1194
DK,2022,1264
DK,2023,356
DO,2018,5
DO,2019,1
DO,2020,1
DO,2021,5
DO,2022,3
DO,2023,1
DZ,2016,1
DZ,2017,3
DZ,2018,10
DZ,2019,17
DZ,2020,16
DZ,2021,12
DZ,2022,24
DZ,2023,5
EC,2016,2
EC,2017,6
EC,2018,14
EC,2019,20
EC,2020,30
EC,2021,37
EC,2022,49
EC,2023,9
EE,2014,1
EE,2016,4
EE,2017,19
EE,2018,9
EE,2019,25
EE,2020,19
EE,2021,35
EE,2022,36
EE,2023,9
EG,2012,1
EG,2014,2
EG,2015,5
EG,2016,24
EG,2017,95
EG,2018,236
EG,2019,407
EG,2020,646
EG,2021,835
EG,2022,992
EG,2023,229
ER,2019,1
ER,2020,1
ER,2021,3
ES,2005,1
ES,2007,1
ES,2012,3
ES,2014,24
ES,2015,38
ES,2016,214
ES,2017,666
ES,2018,1273
ES,2019,1716
ES,2020,2341
ES,2021,3327
ES,2022,3194
ES,2023,799
ET,2014,2
ET,2016,4
ET,2017,15
ET,2018,49
ET,2019,76
ET,2020,145
ET,2021,170
ET,2022,231
ET,2023,31
FI,2014,9
FI,2015,8
FI,2016,44
FI,2017,161
FI,2018,273
FI,2019,385
FI,2020,459
FI,2021,554
FI,2022,654
FI,2023,135
FJ,2019,2
FJ,2020,4
FJ,2021,3
FJ,2022,2
FK,2019,1
FO,2019,3
FO,2020,1
FO,2022,5
FO,2023,1
FR,2008,1
FR,2014,29
FR,2015,64
FR,2016,247
FR,2017,795
FR,2018,1471
FR,2019,1932
FR,2020,2418
FR,2021,3236
FR,2022,3267
FR,2023,776
GA,2018,3
GA,2022,2
GB,2004,1
GB,2005,1
GB,2006,4
GB,2007,1
GB,2008,1
GB,2009,1
GB,2011,2
GB,2013,3
GB,2014,59
GB,2015,200
GB,2016,679
GB,2017,1700
GB,2018,3003
GB,2019,4079
GB,2020,5051
GB,2021,6579
GB,2022,6958
GB,2023,1618
GD,2016,1
GD,2017,3
GD,2018,7
GD,2019,6
GD,2020,10
GD,2021,9
GD,2022,4
GD,2023,3
GE,2017,2
GE,2018,12
GE,2019,15
GE,2020,25
GE,2021,27
GE,2022,30
GE,2023,8
GF,2018,2
GF,2019,1
GF,2020,8
GF,2021,1
GF,2022,1
GF,2023,1
GH,2016,4
GH,2017,17
GH,2018,17
GH,2019,49
GH,2020,56
GH,2021,73
GH,2022,81
GH,2023,13
GI,2019,1
GI,2021,1
GI,2022,1
GL,2017,1
GL,2019,1
GL,2021,2
GL,2022,2
GM,2017,1
GM,2018,2
GM,2019,4
GM,2020,5
GM,2021,7
GM,2022,4
GM,2023,3
GN,2016,1
GN,2017,1
GN,2019,2
GN,2020,1
GN,2021,2
GN,2022,2
GP,2017,2
GP,2018,1
GP,2019,1
GP,2020,3
GP,2022,9
GR,2005,1
GR,2012,1
GR,2014,13
GR,2015,10
GR,2016,43
GR,2017,97
GR,2018,204
GR,2019,336
GR,2020,460
GR,2021,697
GR,2022,798
GR,2023,168
GT,2017,1
GT,2018,1
GT,2020,6
GT,2021,6
GT,2022,7
GT,2023,1
GW,2017,1
GW,2020,2
GW,2021,1
GW,2022,3
GY,2015,1
HN,2020,1
HN,2021,3
HN,2022,3
HN,2023,2
HR,2015,1
HR,2016,8
HR,2017,19
HR,2018,46
HR,2019,60
HR,2020,95
HR,2021,163
HR,2022,203
HR,2023,52
HT,2021,2
