country,institution,funder,year,pub_count
AE,Abu Dhabi Health Services,NIH,2018,1
AE,Ajman University,NIH,2019,1
AE,Al Ain University of Science and Technology,NSFC,2022,1
AE,American University of Sharjah,NIH,2014,1
AE,Dubai Medical College,NIH,2019,1
AE,Dubai Medical College,NIH,2020,1
AE,Emirates Foundation,Wellcome,2021,1
AE,Imperial College London Diabetes Centre,NIH,2020,1
AE,Khalifa University of Science and Technology,BHF,2021,1
AE,Khalifa University of Science and Technology,MRC,2020,1
AE,Khalifa University of Science and Technology,MRC,2021,1
AE,Khalifa University of Science and Technology,NIH,2018,1
AE,Khalifa University of Science and Technology,NIH,2021,3
AE,Khalifa University of Science and Technology,Wellcome,2015,1
AE,Khalifa University of Science and Technology,Wellcome,2020,1
AE,Mohammed Bin Rashid University of Medicine and Health Sciences,NIH,2020,1
AE,Mohammed Bin Rashid University of Medicine and Health Sciences,NIH,2022,1
AE,New York University Abu Dhabi,DFG,2018,1
AE,New York University Abu Dhabi,HHMI,2021,1
AE,New York University Abu Dhabi,NIH,2015,1
AE,New York University Abu Dhabi,NIH,2019,1
AE,New York University Abu Dhabi,NIH,2020,2
AE,New York University Abu Dhabi,NIH,2021,3
AE,New York University Abu Dhabi,NIH,2022,1
AE,Technology Innovation Institute,NIH,2014,1
AE,United Arab Emirates University,BHF,2018,1
AE,United Arab Emirates University,NIH,2020,1
AE,United Arab Emirates University,NIH,2021,1
AE,United Arab Emirates University,NIH,2022,1
AE,University of Sharjah,NIH,2017,1
AE,University of Sharjah,NIH,2018,1
AE,University of Sharjah,NIH,2020,2
AE,University of Sharjah,NIH,2022,1
AM,Institute of Molecular Biology,NIH,2021,1
AM,National Institute of Health,NIH,2020,1
AM,National Institute of Health,NIH,2021,1
AM,Psychiatric Medical Center,NIH,2019,2
AR,Bernardino Rivadavia Natural Sciences Museum,MRC,2022,1
AR,Buenos Aires Institute of Technology,MRC,2018,1
AR,Centro Científico Tecnológico - La Plata,DFG,2022,1
AR,Centro Científico Tecnológico - Santa Fe,DFG,2018,1
AR,Centro Científico Tecnológico - Tucumán,JSPS,2021,1
AR,Centro de Educación Médica e Investigaciones Clínicas Norberto Quirno,DFG,2020,1
AR,Centro de Educación Médica e Investigaciones Clínicas Norberto Quirno,NIH,2020,1
AR,Centro de Investigaciones Cardiovasculares,NIH,2020,1
AR,El Hospital General de Agudos Carlos G. Durand,NIH,2023,1
AR,El Hospital General de Agudos Carlos G. Durand,NSFC,2021,1
AR,Experimental Medicine and Biology Institute,NIH,2021,1
AR,Experimental Medicine and Biology Institute,Wellcome,2022,1
AR,Favaloro Foundation,NIH,2017,1
AR,Fundacion Allende,NIH,2022,1
AR,Fundacion Favaloro Hospital Universitario,BHF,2022,1
AR,Fundacion Favaloro Hospital Universitario,MRC,2022,1
AR,Fundación Instituto Leloir,CIHR,2019,1
AR,Fundación Instituto Leloir,NIH,2018,1
AR,Fundación Instituto Leloir,Wellcome,2016,1
AR,Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia,MRC,2022,1
AR,Garrahan Hospital,MRC,2020,1
AR,Garrahan Hospital,NIH,2020,1
AR,Garrahan Hospital,NIH,2022,2
AR,Garrahan Hospital,Wellcome,2020,1
AR,Hospital Alemán,Wellcome,2022,1
AR,Hospital Italiano de Buenos Aires,NIH,2020,1
AR,Hospital Italiano de Buenos Aires,NIH,2022,1
AR,Hospital Italiano de Buenos Aires,Wellcome,2022,1
AR,Instituto Argentino de Radioastronomía,NIH,2016,1
AR,Instituto Argentino de Radioastronomía,NIH,2017,1
AR,Instituto Argentino de Radioastronomía,NIH,2019,1
AR,Instituto Argentino de Radioastronomía,NIH,2022,1
AR,Instituto Multidisciplinario de Biología Celular,CIHR,2019,1
AR,Instituto Multidisciplinario de Biología Celular,NIH,2021,1
AR,Instituto Multidisciplinario de Biología Celular,NIH,2023,1
AR,Instituto Multidisciplinario de Biología Vegetal,NIH,2017,1
AR,Instituto Superior de Investigaciones Biológicas,JSPS,2021,1
AR,Instituto de Efectividad Clínica y Sanitaria,NIH,2022,1
AR,Instituto de Física del Litoral,NIH,2022,1
AR,Instituto de Genética Veterinaria,DFG,2022,1
AR,Instituto de Histología y Embriología de Mendoza,NIH,2019,1
AR,Instituto de Histología y Embriología de Mendoza,NIH,2021,2
AR,Instituto de Neurología Cognitiva,MRC,2018,1
AR,Instituto de Neurología Cognitiva,NIH,2022,1
AR,Instituto de Química y Fisicoquímica Biológicas,NIH,2022,2
AR,National Scientific and Technical Research Council,JSPS,2020,2
AR,National Scientific and Technical Research Council,JSPS,2021,2
AR,National Scientific and Technical Research Council,JSPS,2022,1
AR,National Scientific and Technical Research Council,MRC,2019,1
AR,National Scientific and Technical Research Council,MRC,2020,1
AR,National Scientific and Technical Research Council,MRC,2022,1
AR,National Scientific and Technical Research Council,NIH,2017,1
AR,National Scientific and Technical Research Council,NIH,2018,1
AR,National Scientific and Technical Research Council,NIH,2019,1
AR,National Scientific and Technical Research Council,NIH,2020,3
AR,National Scientific and Technical Research Council,NIH,2021,4
AR,National Scientific and Technical Research Council,NIH,2022,1
AR,National Scientific and Technical Research Council,NSF,2018,1
