inst_a,country_a,inst_b,country_b,collab_count
University of Andorra,AD,IRCCS Humanitas Research Hospital,IT,1
Ajman University,AE,University of Tirana,AL,1
New York University Abu Dhabi,AE,Instituto de Biología Subtropical,AR,1
New York University Abu Dhabi,AE,Instituto de Química y Fisicoquímica Biológicas,AR,1
New York University Abu Dhabi,AE,National Scientific and Technical Research Council,AR,1
Ajman University,AE,Universität Innsbruck,AT,2
Khalifa University of Science and Technology,AE,Austrian Academy of Sciences,AT,1
Khalifa University of Science and Technology,AE,University of Veterinary Medicine Vienna,AT,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Austrian Institute of Technology,AT,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Medical University of Graz,AT,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Veterinary Medicine Vienna,AT,1
Abu Dhabi Health Services,AE,University of Sydney,AU,3
Abu Dhabi University,AE,Centenary Institute of Cancer Medicine and Cell Biology,AU,1
Abu Dhabi University,AE,University of Technology Sydney,AU,1
Ajman University,AE,Monash University,AU,1
Ajman University,AE,University of Queensland,AU,1
Dubai Medical College,AE,Peter MacCallum Cancer Centre,AU,1
Emirates Foundation,AE,University of Western Australia,AU,1
Khalifa University of Science and Technology,AE,Macquarie University,AU,1
Khalifa University of Science and Technology,AE,Monash University,AU,1
Khalifa University of Science and Technology,AE,RMIT University,AU,2
Khalifa University of Science and Technology,AE,Royal Melbourne Hospital,AU,2
Khalifa University of Science and Technology,AE,University of Melbourne,AU,1
Khalifa University of Science and Technology,AE,University of Technology Sydney,AU,1
Khalifa University of Science and Technology,AE,University of Western Australia,AU,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,La Trobe University,AU,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Queensland,AU,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Tasmania,AU,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Western Sydney University,AU,1
Shaikh Khalifa Medical City,AE,University of Southern Queensland,AU,1
United Arab Emirates University,AE,Australian Centre for Disease Preparedness,AU,1
United Arab Emirates University,AE,Australian Institute for Musculoskeletal Science,AU,1
United Arab Emirates University,AE,Central Queensland University,AU,1
United Arab Emirates University,AE,University of Melbourne,AU,2
United Arab Emirates University,AE,University of Western Australia,AU,1
United Arab Emirates University,AE,UNSW Sydney,AU,1
University of Sharjah,AE,Curtin University,AU,1
University of Sharjah,AE,Flinders University,AU,2
University of Sharjah,AE,University of Adelaide,AU,1
University of Sharjah,AE,University of South Australia,AU,1
University of Sharjah,AE,UNSW Sydney,AU,1
University of Sharjah,AE,Western Health,AU,1
Zayed University,AE,University of Sydney,AU,2
Zayed University,AE,UNSW Sydney,AU,1
Higher Colleges of Technology,AE,Academy of Public Administration,AZ,1
Skyline University College,AE,Academy of Public Administration,AZ,1
Abu Dhabi Education Council,AE,University of Banja Luka,BA,1
Amity University,AE,United International University,BD,1
British University in Dubai,AE,Bangladesh University of Engineering and Technology,BD,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Dhaka,BD,1
University of Sharjah,AE,Bangladesh University,BD,1
Sheikh Shakhbout Medical City,AE,AZ Sint-Lucas,BE,1
United Arab Emirates University,AE,Royal College of Surgeons in Ireland - Bahrain,BH,1
University of Sharjah,AE,Arabian Gulf University,BH,1
Ajman University,AE,Universidade de São Paulo,BR,1
Higher Colleges of Technology,AE,Federal University of Piauí,BR,1
New York University Abu Dhabi,AE,Federal University of Rio Grande do Sul,BR,1
New York University Abu Dhabi,AE,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,BR,1
New York University Abu Dhabi,AE,Hospital Israelita Albert Einstein,BR,2
New York University Abu Dhabi,AE,São Paulo State University,BR,1
New York University Abu Dhabi,AE,Universidade de São Paulo,BR,1
New York University Abu Dhabi,AE,Universidade Estadual de Campinas,BR,1
New York University Abu Dhabi,AE,Universidade Nove de Julho,BR,1
Sheikh Shakhbout Medical City,AE,Faculdade de Ciências Médicas da Santa Casa de São Paulo,BR,1
Sheikh Shakhbout Medical City,AE,Hospital do Servidor Público Estadual,BR,1
Sheikh Shakhbout Medical City,AE,Universidade Cidade de São Paulo,BR,1
Sheikh Shakhbout Medical City,AE,Universidade São Judas Tadeu,BR,1
United Arab Emirates University,AE,Universidade Federal de Sergipe,BR,1
Abu Dhabi University,AE,McGill University Health Centre,CA,1
Abu Dhabi University,AE,Sinai Health System,CA,1
Abu Dhabi University,AE,Western University,CA,1
American University of Sharjah,AE,University of Alberta,CA,1
Dubai Medical College,AE,Université de Montréal,CA,1
Khalifa University of Science and Technology,AE,Simon Fraser University,CA,1
Khalifa University of Science and Technology,AE,Université de Sherbrooke,CA,1
Khalifa University of Science and Technology,AE,University of Saskatchewan,CA,1
Mediclinic City Hospital,AE,McMaster University,CA,1
Mohamed bin Zayed University of Artificial Intelligence,AE,University of Ottawa,CA,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,McGill University Health Centre,CA,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,SickKids Foundation,CA,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Université de Montréal,CA,1
United Arab Emirates University,AE,Centre Hospitalier Universitaire Sainte-Justine,CA,1
United Arab Emirates University,AE,McMaster University,CA,1
United Arab Emirates University,AE,Montreal Neurological Institute and Hospital,CA,1
United Arab Emirates University,AE,Université de Montréal,CA,2
United Arab Emirates University,AE,Université de Sherbrooke,CA,1
United Arab Emirates University,AE,University of Calgary,CA,1
United Arab Emirates University,AE,University of Toronto,CA,1
University of Sharjah,AE,Jewish General Hospital,CA,2
University of Sharjah,AE,McGill University,CA,1
University of Sharjah,AE,McGill University Health Centre,CA,3
University of Sharjah,AE,Nova Scotia Health Authority,CA,1
University of Sharjah,AE,Sinai Health System,CA,1
University of Sharjah,AE,University of British Columbia,CA,1
University of Sharjah,AE,University of Calgary,CA,1
Khalifa University of Science and Technology,AE,Federal Office for Agriculture,CH,1
Ajman University,AE,Hangzhou Dianzi University,CN,1
Ajman University,AE,Wenzhou-Kean University,CN,3
Ajman University,AE,Wenzhou Central Hospital,CN,1
Al Ain University of Science and Technology,AE,Chongqing Academy of Agricultural Sciences,CN,1
Al Ain University of Science and Technology,AE,Hainan Normal University,CN,1
Al Ain University of Science and Technology,AE,Qujing Normal University,CN,1
Al Ain University of Science and Technology,AE,Zhejiang University,CN,1
American University of Sharjah,AE,Dalian Polytechnic University,CN,1
American University of Sharjah,AE,Hong Kong Baptist University,CN,1
American University of Sharjah,AE,Shenzhen University,CN,1
Khalifa University of Science and Technology,AE,City University of Hong Kong,CN,1
Khalifa University of Science and Technology,AE,First Affiliated Hospital of Sun Yat-sen University,CN,1
New York University Abu Dhabi,AE,Beijing University of Chemical Technology,CN,1
New York University Abu Dhabi,AE,Tianjin Huanhu Hospital,CN,1
Oasis Hospital,AE,Xian Yang Central Hospital,CN,1
Tawam Hospital,AE,Chinese University of Hong Kong,CN,1
Tawam Hospital,AE,"Chinese University of Hong Kong, Shenzhen",CN,1
United Arab Emirates University,AE,Beijing Anding Hospital,CN,1
United Arab Emirates University,AE,Hebei Normal University,CN,1
United Arab Emirates University,AE,Hebei University of Technology,CN,2
United Arab Emirates University,AE,Qufu Normal University,CN,3
United Arab Emirates University,AE,Tianjin University,CN,1
United Arab Emirates University,AE,Tianjin University of Technology,CN,1
University of Sharjah,AE,Chinese University of Hong Kong,CN,1
University of Sharjah,AE,"Chinese University of Hong Kong, Shenzhen",CN,1
University of Sharjah,AE,Ministry of Agriculture and Rural Affairs,CN,1
University of Sharjah,AE,Zhejiang University,CN,1
Zayed University,AE,Peking University,CN,1
Mohamed bin Zayed University of Artificial Intelligence,AE,Universidad de Medellín,CO,1
Higher Colleges of Technology,AE,Eastern Mediterranean University,CY,1
University of Sharjah,AE,Cyprus International University,CY,1
Ajman University,AE,Technical University of Ostrava,CZ,3
Gulf Medical University,AE,Mendel University in Brno,CZ,1
Abu Dhabi University,AE,University of Lübeck,DE,1
Ajman University,AE,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,DE,1
Dubai Medical College,AE,Helmholtz Centre for Environmental Research,DE,1
IVI Middle East Fertility Clinic,AE,Klinik Preetz,DE,1
Khalifa University of Science and Technology,AE,Furtwangen University,DE,1
Khalifa University of Science and Technology,AE,Heidelberg University,DE,1
Khalifa University of Science and Technology,AE,RWTH Aachen University,DE,1
Khalifa University of Science and Technology,AE,University Hospital Ulm,DE,1
Khalifa University of Science and Technology,AE,University of Ulm,DE,1
Khalifa University of Science and Technology,AE,University of Würzburg,DE,1
Latifa Hospital,AE,Bernstein Center for Computational Neuroscience Göttingen,DE,1
Mediclinic City Hospital,AE,Paracelsus Medizinische Privatuniversität,DE,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Center for Experimental and Clinical Infection Research,DE,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,Osnabrück University,DE,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,University of Lübeck,DE,1
New York University Abu Dhabi,AE,European Molecular Biology Laboratory,DE,1
New York University Abu Dhabi,AE,Leibniz Institute of Polymer Research,DE,1
New York University Abu Dhabi,AE,Leipzig University,DE,1
New York University Abu Dhabi,AE,Max Planck Institute for the Science of Light,DE,1
Oasis Hospital,AE,Hannover Medical School,DE,1
Ras al-Khaimah Medical and Health Sciences University,AE,Bavarian Polymer Institute,DE,2
Tawam Hospital,AE,Centogene (Germany),DE,1
United Arab Emirates University,AE,Berlin Centre of Competence for Water,DE,1
United Arab Emirates University,AE,Furtwangen University,DE,1
