funder,organ,year,pub_count
BHF,blood vasculature,2013,2
BHF,blood vasculature,2015,1
BHF,blood vasculature,2017,1
BHF,bone marrow,2001,1
BHF,bone marrow,2003,1
BHF,bone marrow,2006,1
BHF,bone marrow,2007,1
BHF,bone marrow,2008,6
BHF,bone marrow,2009,9
BHF,bone marrow,2010,7
BHF,bone marrow,2011,9
BHF,bone marrow,2012,9
BHF,bone marrow,2013,17
BHF,bone marrow,2014,7
BHF,bone marrow,2015,12
BHF,bone marrow,2016,9
BHF,bone marrow,2017,9
BHF,bone marrow,2018,10
BHF,bone marrow,2019,11
BHF,bone marrow,2020,8
BHF,bone marrow,2021,8
BHF,bone marrow,2022,2
BHF,brain,2003,1
BHF,brain,2007,1
BHF,brain,2008,9
BHF,brain,2009,14
BHF,brain,2010,13
BHF,brain,2011,24
BHF,brain,2012,29
BHF,brain,2013,33
BHF,brain,2014,35
BHF,brain,2015,45
BHF,brain,2016,48
BHF,brain,2017,38
BHF,brain,2018,49
BHF,brain,2019,63
BHF,brain,2020,47
BHF,brain,2021,67
BHF,brain,2022,65
BHF,brain,2023,4
BHF,eye,2009,1
BHF,eye,2010,2
BHF,eye,2011,2
BHF,eye,2013,5
BHF,eye,2014,1
BHF,eye,2015,4
BHF,eye,2016,4
BHF,eye,2017,2
BHF,eye,2018,4
BHF,eye,2019,4
BHF,eye,2020,6
BHF,eye,2021,3
BHF,eye,2022,4
BHF,heart,1982,1
BHF,heart,1985,1
BHF,heart,1999,1
BHF,heart,2000,1
BHF,heart,2001,1
BHF,heart,2002,2
BHF,heart,2003,10
BHF,heart,2004,11
BHF,heart,2005,11
BHF,heart,2006,12
BHF,heart,2007,22
BHF,heart,2008,77
BHF,heart,2009,117
BHF,heart,2010,153
BHF,heart,2011,197
BHF,heart,2012,215
BHF,heart,2013,296
BHF,heart,2014,288
BHF,heart,2015,316
BHF,heart,2016,363
BHF,heart,2017,333
BHF,heart,2018,402
BHF,heart,2019,366
BHF,heart,2020,389
BHF,heart,2021,457
BHF,heart,2022,319
BHF,heart,2023,44
BHF,kidney,2004,1
BHF,kidney,2005,2
BHF,kidney,2007,2
BHF,kidney,2008,10
BHF,kidney,2009,16
BHF,kidney,2010,27
BHF,kidney,2011,21
BHF,kidney,2012,24
BHF,kidney,2013,36
BHF,kidney,2014,41
BHF,kidney,2015,37
BHF,kidney,2016,45
BHF,kidney,2017,44
BHF,kidney,2018,48
BHF,kidney,2019,52
BHF,kidney,2020,37
BHF,kidney,2021,55
BHF,kidney,2022,31
BHF,kidney,2023,3
BHF,knee,2012,1
BHF,knee,2014,1
BHF,knee,2015,2
BHF,knee,2016,1
BHF,knee,2018,1
BHF,knee,2019,1
BHF,knee,2020,2
BHF,knee,2021,2
BHF,knee,2022,2
BHF,liver,1999,1
BHF,liver,2000,2
BHF,liver,2002,1
BHF,liver,2003,2
BHF,liver,2004,2
BHF,liver,2006,2
BHF,liver,2007,5
BHF,liver,2008,14
BHF,liver,2009,21
BHF,liver,2010,21
BHF,liver,2011,21
BHF,liver,2012,29
BHF,liver,2013,40
BHF,liver,2014,35
BHF,liver,2015,49
BHF,liver,2016,42
BHF,liver,2017,43
BHF,liver,2018,35
BHF,liver,2019,48
BHF,liver,2020,63
BHF,liver,2021,54
BHF,liver,2022,37
BHF,liver,2023,7
BHF,lung,2008,5
BHF,lung,2009,8
BHF,lung,2010,20
BHF,lung,2011,12
BHF,lung,2012,15
BHF,lung,2013,22
BHF,lung,2014,15
BHF,lung,2015,21
BHF,lung,2016,19
BHF,lung,2017,28
BHF,lung,2018,33
BHF,lung,2019,36
BHF,lung,2020,30
BHF,lung,2021,37
BHF,lung,2022,24
BHF,lung,2023,2
BHF,lymph node,2009,2
BHF,lymph node,2011,2
BHF,lymph node,2012,1
BHF,lymph node,2014,1
BHF,lymph node,2015,6
BHF,lymph node,2016,1
BHF,lymph node,2017,4
BHF,lymph node,2019,3
BHF,lymph node,2020,1
BHF,lymph node,2021,1
BHF,lymph node,2022,1
BHF,lymph vasculature,2016,1
BHF,lymph vasculature,2021,1
BHF,lymph vasculature,2022,2
BHF,main bronchus,2015,1
BHF,muscular system,2011,1
BHF,ovary,2011,1
BHF,ovary,2012,2
BHF,ovary,2013,2
BHF,ovary,2014,2
BHF,ovary,2015,2
BHF,ovary,2016,2
BHF,ovary,2019,4
BHF,ovary,2020,4
BHF,ovary,2021,3
BHF,ovary,2022,2
BHF,pancreas,2010,2
BHF,pancreas,2012,1
BHF,pancreas,2013,1
BHF,pancreas,2014,2
BHF,pancreas,2016,1
BHF,pancreas,2018,1
BHF,pancreas,2019,3
BHF,pancreas,2020,2
BHF,pancreas,2021,1
BHF,pancreas,2022,1
BHF,pelvis,2015,1
BHF,peripheral nervous system,2007,1
BHF,peripheral nervous system,2011,1
BHF,peripheral nervous system,2012,2
BHF,peripheral nervous system,2014,1
BHF,peripheral nervous system,2015,1
BHF,placenta,2006,1
BHF,placenta,2007,1
BHF,placenta,2008,1
BHF,placenta,2010,3
BHF,placenta,2011,7
BHF,placenta,2012,8
BHF,placenta,2013,9
BHF,placenta,2014,8
BHF,placenta,2015,14
BHF,placenta,2016,11
BHF,placenta,2017,12
BHF,placenta,2018,13
BHF,placenta,2019,7
BHF,placenta,2020,11
BHF,placenta,2021,21
BHF,placenta,2022,15
BHF,placenta,2023,3
BHF,prostate,2008,1
BHF,prostate,2010,2
BHF,prostate,2011,1
BHF,prostate,2012,1
BHF,prostate,2013,1
BHF,prostate,2014,1
BHF,prostate,2016,2
BHF,prostate,2017,1
BHF,prostate,2018,2
BHF,prostate,2019,3
BHF,prostate,2020,1
BHF,prostate,2021,4
BHF,skeletal,2002,2
BHF,skeletal,2003,1
BHF,skeletal,2004,1
BHF,skeletal,2005,2
BHF,skeletal,2006,1
BHF,skeletal,2007,9
BHF,skeletal,2008,6
BHF,skeletal,2009,12
BHF,skeletal,2010,15
BHF,skeletal,2011,12
BHF,skeletal,2012,27
BHF,skeletal,2013,23
BHF,skeletal,2014,26
BHF,skeletal,2015,24
BHF,skeletal,2016,28
BHF,skeletal,2017,30
BHF,skeletal,2018,19
BHF,skeletal,2019,24
BHF,skeletal,2020,29
BHF,skeletal,2021,24
BHF,skeletal,2022,18
BHF,skeletal,2023,2
BHF,skin,2008,3
BHF,skin,2009,1
BHF,skin,2010,10
BHF,skin,2011,8
BHF,skin,2012,12
BHF,skin,2013,11
BHF,skin,2014,5
BHF,skin,2015,8
BHF,skin,2016,5
BHF,skin,2017,8
BHF,skin,2018,15
BHF,skin,2019,16
BHF,skin,2020,12
BHF,skin,2021,5
BHF,skin,2022,5
BHF,skin,2023,1
BHF,small intestine,2008,1
BHF,small intestine,2010,1
BHF,small intestine,2018,1
BHF,spinal cord,2010,2
BHF,spinal cord,2011,4
BHF,spinal cord,2013,2
BHF,spinal cord,2014,2
BHF,spinal cord,2015,6
BHF,spinal cord,2018,1
BHF,spinal cord,2019,3
BHF,spinal cord,2020,4
BHF,spinal cord,2022,2
BHF,spleen,1994,1
BHF,spleen,1998,1
BHF,spleen,2000,1
BHF,spleen,2006,1
BHF,spleen,2008,2
BHF,spleen,2009,2
BHF,spleen,2010,2
BHF,spleen,2012,5
BHF,spleen,2013,4
BHF,spleen,2014,3
BHF,spleen,2015,7
BHF,spleen,2016,3
BHF,spleen,2017,7
BHF,spleen,2018,4
BHF,spleen,2019,2
BHF,spleen,2020,3
BHF,spleen,2021,3
BHF,spleen,2022,1
BHF,thymus,1998,1
BHF,thymus,2001,1
BHF,thymus,2009,1
BHF,thymus,2010,2
BHF,thymus,2014,1
BHF,thymus,2016,1
BHF,thymus,2018,1
BHF,thymus,2019,2
BHF,thymus,2021,2
BHF,trachea,2012,1
BHF,trachea,2013,2
BHF,trachea,2015,1
BHF,trachea,2016,1
BHF,trachea,2018,2
BHF,ureter,2011,3
BHF,ureter,2012,1
BHF,ureter,2013,2
BHF,ureter,2014,2
BHF,ureter,2015,2
BHF,ureter,2017,2
BHF,urinary bladder,2008,1
BHF,urinary bladder,2010,2
BHF,urinary bladder,2011,1
BHF,urinary bladder,2013,2
BHF,urinary bladder,2017,1
BHF,urinary bladder,2018,1
BHF,urinary bladder,2022,1
BHF,uterus,2005,1
BHF,uterus,2007,1
BHF,uterus,2008,1
BHF,uterus,2009,1
BHF,uterus,2010,2
BHF,uterus,2011,1
BHF,uterus,2012,2
BHF,uterus,2013,1
BHF,uterus,2014,3
BHF,uterus,2015,3
BHF,uterus,2016,2
BHF,uterus,2017,3
BHF,uterus,2018,1
BHF,uterus,2019,1
BHF,uterus,2020,1
BHF,uterus,2021,1
BHF,uterus,2022,1
CIHR,blood vasculature,2018,1
CIHR,bone marrow,2002,1
CIHR,bone marrow,2005,1
CIHR,bone marrow,2006,2
CIHR,bone marrow,2009,3
CIHR,bone marrow,2010,12
CIHR,bone marrow,2011,21
CIHR,bone marrow,2012,20
CIHR,bone marrow,2013,19
CIHR,bone marrow,2014,13
CIHR,bone marrow,2015,23
CIHR,bone marrow,2016,2
CIHR,bone marrow,2017,1
CIHR,bone marrow,2018,2
CIHR,brain,1980,1
CIHR,brain,1982,1
CIHR,brain,1984,1
CIHR,brain,1985,1
CIHR,brain,1986,1
CIHR,brain,1989,1
CIHR,brain,1992,1
CIHR,brain,1996,2
CIHR,brain,1997,2
CIHR,brain,1999,2
CIHR,brain,2000,5
CIHR,brain,2001,1
CIHR,brain,2002,6
CIHR,brain,2003,5
CIHR,brain,2004,7
CIHR,brain,2005,6
CIHR,brain,2006,12
CIHR,brain,2007,8
CIHR,brain,2008,7
CIHR,brain,2009,27
CIHR,brain,2010,143
CIHR,brain,2011,150
CIHR,brain,2012,176
CIHR,brain,2013,197
CIHR,brain,2014,233
CIHR,brain,2015,272
CIHR,brain,2016,129
CIHR,brain,2017,15
CIHR,brain,2018,26
CIHR,brain,2019,18
CIHR,brain,2020,1
CIHR,brain,2023,3
CIHR,eye,2004,1
CIHR,eye,2007,2
CIHR,eye,2009,2
CIHR,eye,2010,10
CIHR,eye,2011,20
CIHR,eye,2012,28
CIHR,eye,2013,18
CIHR,eye,2014,23
CIHR,eye,2015,24
CIHR,eye,2016,8
CIHR,eye,2017,1
CIHR,eye,2018,2
CIHR,eye,2019,1
CIHR,fallopian tube,2011,1
CIHR,fallopian tube,2012,1
CIHR,fallopian tube,2014,1
CIHR,fallopian tube,2015,1
CIHR,heart,1987,2
CIHR,heart,1989,3
CIHR,heart,1990,3
CIHR,heart,1991,4
CIHR,heart,1992,2
CIHR,heart,1993,2
CIHR,heart,1994,1
CIHR,heart,1997,2
CIHR,heart,1999,1
CIHR,heart,2000,3
CIHR,heart,2001,2
CIHR,heart,2002,1
CIHR,heart,2003,4
CIHR,heart,2004,6
CIHR,heart,2005,5
CIHR,heart,2006,1
CIHR,heart,2007,4
CIHR,heart,2008,1
CIHR,heart,2009,20
CIHR,heart,2010,78
CIHR,heart,2011,91
CIHR,heart,2012,101
CIHR,heart,2013,105
CIHR,heart,2014,103
CIHR,heart,2015,116
CIHR,heart,2016,42
CIHR,heart,2017,3
CIHR,heart,2018,4
CIHR,heart,2019,3
CIHR,heart,2023,1
CIHR,kidney,1999,4
CIHR,kidney,2000,1
CIHR,kidney,2001,2
CIHR,kidney,2002,1
CIHR,kidney,2003,1
CIHR,kidney,2004,2
CIHR,kidney,2005,6
CIHR,kidney,2006,2
CIHR,kidney,2007,3
CIHR,kidney,2008,1
CIHR,kidney,2009,4
CIHR,kidney,2010,42
CIHR,kidney,2011,38
CIHR,kidney,2012,37
CIHR,kidney,2013,49
CIHR,kidney,2014,45
CIHR,kidney,2015,66
CIHR,kidney,2016,24
CIHR,kidney,2017,3
CIHR,kidney,2018,7
CIHR,kidney,2019,4
CIHR,knee,2002,1
CIHR,knee,2003,2
CIHR,knee,2004,2
CIHR,knee,2005,2
CIHR,knee,2007,3
CIHR,knee,2008,2
CIHR,knee,2009,1
CIHR,knee,2010,5
CIHR,knee,2011,10
CIHR,knee,2012,18
CIHR,knee,2013,15
CIHR,knee,2014,14
CIHR,knee,2015,25
CIHR,knee,2016,11
CIHR,knee,2018,4
CIHR,knee,2019,2
CIHR,knee,2020,1
CIHR,knee,2023,1
CIHR,large intestine,2013,1
CIHR,large intestine,2016,2
CIHR,liver,1983,1
CIHR,liver,1999,1
CIHR,liver,2000,1
CIHR,liver,2001,3
CIHR,liver,2003,4
CIHR,liver,2004,4
CIHR,liver,2005,8
CIHR,liver,2006,10
CIHR,liver,2007,5
CIHR,liver,2008,1
CIHR,liver,2009,11
CIHR,liver,2010,77
CIHR,liver,2011,73
CIHR,liver,2012,84
CIHR,liver,2013,104
CIHR,liver,2014,108
CIHR,liver,2015,139
CIHR,liver,2016,64
CIHR,liver,2018,19
CIHR,liver,2019,11
CIHR,liver,2020,2
CIHR,liver,2023,2
CIHR,lung,1990,1
CIHR,lung,1998,1
CIHR,lung,1999,5
CIHR,lung,2000,4
CIHR,lung,2002,2
CIHR,lung,2003,7
CIHR,lung,2004,4
CIHR,lung,2005,3
CIHR,lung,2006,5
CIHR,lung,2007,4
CIHR,lung,2008,1
CIHR,lung,2009,5
CIHR,lung,2010,55
CIHR,lung,2011,42
CIHR,lung,2012,49
CIHR,lung,2013,59
CIHR,lung,2014,61
CIHR,lung,2015,101
CIHR,lung,2016,26
CIHR,lung,2017,1
CIHR,lung,2018,5
CIHR,lung,2019,5
CIHR,lung,2023,1
CIHR,lymph node,2005,1
CIHR,lymph node,2006,1
CIHR,lymph node,2009,2
CIHR,lymph node,2010,8
CIHR,lymph node,2011,6
CIHR,lymph node,2012,7
CIHR,lymph node,2013,7
CIHR,lymph node,2014,3
CIHR,lymph node,2015,4
CIHR,lymph node,2016,2
CIHR,lymph node,2018,1
CIHR,ovary,1984,1
CIHR,ovary,2003,2
CIHR,ovary,2004,1
CIHR,ovary,2005,1
CIHR,ovary,2006,1
CIHR,ovary,2007,2
CIHR,ovary,2010,2
CIHR,ovary,2011,4
CIHR,ovary,2012,8
CIHR,ovary,2013,2
CIHR,ovary,2014,5
CIHR,ovary,2015,6
CIHR,ovary,2016,3
CIHR,ovary,2018,1
CIHR,ovary,2019,1
CIHR,pancreas,2004,2
CIHR,pancreas,2006,1
CIHR,pancreas,2009,2
CIHR,pancreas,2010,6
CIHR,pancreas,2011,8
CIHR,pancreas,2012,7
CIHR,pancreas,2013,4
CIHR,pancreas,2014,6
CIHR,pancreas,2015,12
CIHR,pancreas,2016,2
CIHR,pancreas,2023,1
CIHR,pelvis,2011,2
CIHR,pelvis,2015,1
CIHR,pelvis,2018,1
CIHR,peripheral nervous system,1999,1
CIHR,peripheral nervous system,2000,1
CIHR,peripheral nervous system,2004,1
CIHR,peripheral nervous system,2009,3
CIHR,peripheral nervous system,2010,2
CIHR,peripheral nervous system,2011,1
CIHR,peripheral nervous system,2012,2
CIHR,peripheral nervous system,2014,4
CIHR,peripheral nervous system,2015,1
CIHR,peripheral nervous system,2018,1
CIHR,placenta,1999,1
CIHR,placenta,2001,1
CIHR,placenta,2003,1
CIHR,placenta,2004,1
CIHR,placenta,2006,2
CIHR,placenta,2009,4
CIHR,placenta,2010,13
CIHR,placenta,2011,26
CIHR,placenta,2012,25
CIHR,placenta,2013,30
CIHR,placenta,2014,21
CIHR,placenta,2015,27
CIHR,placenta,2016,12
CIHR,placenta,2018,3
CIHR,placenta,2019,1
CIHR,prostate,2000,1
