organ,year,pub_count
blood vasculature,1964,3
blood vasculature,1966,1
blood vasculature,1968,1
blood vasculature,1970,1
blood vasculature,1971,2
blood vasculature,1972,2
blood vasculature,1974,1
blood vasculature,1977,5
blood vasculature,1978,1
blood vasculature,1979,2
blood vasculature,1980,2
blood vasculature,1981,1
blood vasculature,1982,1
blood vasculature,1983,2
blood vasculature,1984,3
blood vasculature,1985,2
blood vasculature,1986,2
blood vasculature,1987,3
blood vasculature,1988,3
blood vasculature,1989,4
blood vasculature,1991,3
blood vasculature,1992,5
blood vasculature,1993,2
blood vasculature,1994,4
blood vasculature,1995,2
blood vasculature,1996,6
blood vasculature,1997,4
blood vasculature,1998,6
blood vasculature,1999,7
blood vasculature,2000,2
blood vasculature,2001,4
blood vasculature,2002,3
blood vasculature,2003,4
blood vasculature,2004,4
blood vasculature,2005,5
blood vasculature,2006,5
blood vasculature,2007,11
blood vasculature,2008,10
blood vasculature,2009,12
blood vasculature,2010,9
blood vasculature,2011,8
blood vasculature,2012,18
blood vasculature,2013,13
blood vasculature,2014,10
blood vasculature,2015,11
blood vasculature,2016,11
blood vasculature,2017,11
blood vasculature,2018,13
blood vasculature,2019,6
blood vasculature,2020,29
blood vasculature,2021,19
blood vasculature,2022,7
blood vasculature,2023,4
bone marrow,1950,198
bone marrow,1951,223
bone marrow,1952,215
bone marrow,1953,229
bone marrow,1954,201
bone marrow,1955,236
bone marrow,1956,254
bone marrow,1957,211
bone marrow,1958,228
bone marrow,1959,305
bone marrow,1960,297
bone marrow,1961,376
bone marrow,1962,396
bone marrow,1963,583
bone marrow,1964,1105
bone marrow,1965,773
bone marrow,1966,755
bone marrow,1967,985
bone marrow,1968,1252
bone marrow,1969,1330
bone marrow,1970,1418
bone marrow,1971,1670
bone marrow,1972,1660
bone marrow,1973,1686
bone marrow,1974,1785
bone marrow,1975,1680
bone marrow,1976,1447
bone marrow,1977,1578
bone marrow,1978,1744
bone marrow,1979,1795
bone marrow,1980,1776
bone marrow,1981,1920
bone marrow,1982,1973
bone marrow,1983,1995
bone marrow,1984,2270
bone marrow,1985,2511
bone marrow,1986,2543
bone marrow,1987,2662
bone marrow,1988,2635
bone marrow,1989,3030
bone marrow,1990,3019
bone marrow,1991,3160
bone marrow,1992,3259
bone marrow,1993,3408
bone marrow,1994,3495
bone marrow,1995,3565
bone marrow,1996,3384
bone marrow,1997,3293
bone marrow,1998,3115
bone marrow,1999,3126
bone marrow,2000,3187
bone marrow,2001,3206
bone marrow,2002,3234
bone marrow,2003,3322
bone marrow,2004,3282
bone marrow,2005,3411
bone marrow,2006,3474
bone marrow,2007,3462
bone marrow,2008,3532
bone marrow,2009,3558
bone marrow,2010,3685
bone marrow,2011,3925
bone marrow,2012,3986
bone marrow,2013,4208
bone marrow,2014,4047
bone marrow,2015,4158
bone marrow,2016,3859
bone marrow,2017,3563
bone marrow,2018,3515
bone marrow,2019,3489
bone marrow,2020,3417
bone marrow,2021,3438
bone marrow,2022,2609
bone marrow,2023,617
brain,1950,972
brain,1951,1065
brain,1952,1085
brain,1953,1314
