iri,pref_label,type
http://purl.obolibrary.org/obo/UBERON_0006082,fundus of urinary bladder,AS
http://purl.obolibrary.org/obo/UBERON_0004326,middle phalanx of digit of foot 4,AS
http://purl.obolibrary.org/obo/UBERON_0004324,middle phalanx of digit of foot 2,AS
http://purl.obolibrary.org/obo/UBERON_0003846,thymus epithelium,AS
http://purl.obolibrary.org/obo/UBERON_0005871,palatine process of maxilla,AS
http://purl.obolibrary.org/obo/UBERON_0002012,pulmonary artery,AS
http://purl.obolibrary.org/obo/UBERON_0002012,pulmonary vein,AS
http://purl.org/sig/ont/fma/fma5840,right lumbar lymph trunk,AS
http://purl.obolibrary.org/obo/UBERON_0003468,ureteric segment of renal artery,AS
http://purl.obolibrary.org/obo/UBERON_0013142,soleal vein,AS
http://purl.obolibrary.org/obo/UBERON_0013142,soleal vein #2,AS
http://purl.obolibrary.org/obo/UBERON_0004328,proximal phalanx of digit of hand 2,AS
http://purl.obolibrary.org/obo/UBERON_0014613,cervical spinal cord gray matter,AS
http://purl.obolibrary.org/obo/UBERON_0002726,cervical spinal cord,AS
http://purl.org/sig/ont/fma/fma8810,dorsal ramus of sixth thoracic spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0002702,middle frontal gyrus,AS
http://purl.obolibrary.org/obo/UBERON_0002151,basilar part of pons (pontine nuclei),AS
http://purl.obolibrary.org/obo/UBERON_0002123,cortex of thymus,AS
http://purl.obolibrary.org/obo/UBERON_0005841,cervical spinal cord dorsal column,AS
http://purl.obolibrary.org/obo/UBERON_0035183,calcarine artery,AS
http://purl.obolibrary.org/obo/UBERON_0010994,coronoid process of ulna,AS
http://purl.org/sig/ont/fma/fma52932,middle superior alveolar nerve,AS
http://purl.obolibrary.org/obo/UBERON_0004725,lateral olfactory gyrus,AS
http://purl.obolibrary.org/obo/UBERON_0000052,fornix,AS
http://purl.obolibrary.org/obo/UBERON_0001676,occipital bone,AS
http://purl.obolibrary.org/obo/UBERON_0001703,neurocranium,AS
http://purl.obolibrary.org/obo/UBERON_0001188,right testicular artery,AS
http://purl.obolibrary.org/obo/UBERON_0001383,leg muscle,AS
http://purl.obolibrary.org/obo/UBERON_0001384,primary motor cortex,AS
http://purl.obolibrary.org/obo/UBERON_0001871,temporal lobe,AS
http://purl.obolibrary.org/obo/UBERON_0001105,clavicle bone,AS
http://purl.obolibrary.org/obo/UBERON_0014477,thoracic skeleton,AS
http://purl.obolibrary.org/obo/UBERON_0005944,axial skeleton,AS
http://purl.obolibrary.org/obo/UBERON_0000377,maxillary nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001190,ovarian artery,AS
http://purl.org/sig/ont/fma/fma45441,muscular branch of medial plantar nerve to first lumbrical of foot,AS
http://purl.org/sig/ont/fma/fma6873,transverse cervical nerve,AS
http://purl.obolibrary.org/obo/UBERON_0006453,t5 segment of thoracic spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0001453,distal tarsal bone 2,AS
http://purl.obolibrary.org/obo/UBERON_0005899,foot bone,AS
http://purl.obolibrary.org/obo/UBERON_0003645,metacarpal bone of digit 1,AS
http://purl.obolibrary.org/obo/UBERON_0003652,metatarsal bone of digit 3,AS
http://purl.obolibrary.org/obo/UBERON_0002395,talus,AS
http://purl.org/sig/ont/fma/fma22750,palmar carpal branch of radial artery,AS
http://purl.org/sig/ont/fma/fma70503,posterior segmental renal artery,AS
http://purl.obolibrary.org/obo/UBERON_0006493,c7 segment of cervical spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0005839,thoracic spinal cord dorsal column,AS
http://purl.obolibrary.org/obo/UBERON_0014848,patellar tendon,AS
http://purl.org/sig/ont/fma/fma14835,cystic artery,AS
http://purl.org/sig/ont/fma/fma52972,zygomaticotemporal branch of zygomatic nerve,AS
http://purl.org/sig/ont/fma/fma8767,ventral ramus of third lumbar spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0004913,hepatopancreatic ampulla,AS
http://purl.obolibrary.org/obo/UBERON_0012303,ureteral orifice,AS
http://purl.org/sig/ont/fma/fma43903,posterior tibial recurrent artery,AS
http://purl.obolibrary.org/obo/UBERON_0001647,facial nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001192,left gastric artery,AS
http://purl.obolibrary.org/obo/UBERON_0001406,ulnar artery,AS
http://purl.obolibrary.org/obo/UBERON_0000178,blood,AS
http://purl.obolibrary.org/obo/UBERON_0004688,costocervical trunk,AS
http://purl.obolibrary.org/obo/UBERON_0002073,hair follicle,AS
http://purl.obolibrary.org/obo/UBERON_0002073,hair follicles,AS
http://purl.obolibrary.org/obo/UBERON_0001737,larynx,AS
http://purl.obolibrary.org/obo/UBERON_0002707,pyramidal tract,AS
http://purl.obolibrary.org/obo/UBERON_0000155,theca cell layer,AS
http://purl.obolibrary.org/obo/UBERON_0008345,epithelium,AS
http://purl.org/sig/ont/fma/fma23066,clavicular branch of thoracoacromial artery,AS
http://purl.obolibrary.org/obo/UBERON_0015834,lamina propria/gut associated lymphoid tissue (galt),AS
http://purl.obolibrary.org/obo/UBERON_0004608,rib 9,AS
http://purl.obolibrary.org/obo/UBERON_0001310,umbilical artery,AS
http://purl.obolibrary.org/obo/UBERON_0001310,umbilical arteries,AS
http://purl.org/sig/ont/fma/fma80032,nerve to first dorsal interosseous of foot,AS
http://purl.obolibrary.org/obo/UBERON_0007160,inferior petrosal sinus,AS
http://purl.obolibrary.org/obo/UBERON_0001586,internal jugular vein,AS
http://purl.obolibrary.org/obo/UBERON_0006761,corneoscleral limbus,AS
http://purl.org/sig/ont/fma/fma52728,meningeal branch of maxillary nerve,AS
http://purl.org/sig/ont/fma/fma44699,superficial fibular nerve,AS
http://purl.obolibrary.org/obo/UBERON_0006448,l1 lumbar spinal cord segment,AS
http://purl.obolibrary.org/obo/UBERON_0001613,occipital artery,AS
http://purl.obolibrary.org/obo/UBERON_0006633,coracoid process of scapula,AS
http://purl.obolibrary.org/obo/UBERON_0001495,pectoral muscle,AS
http://purl.obolibrary.org/obo/UBERON_0002477,"globus pallidus, internal",AS
http://purl.org/sig/ont/fma/fma71743,humeral lymph node #2,AS
http://purl.org/sig/ont/fma/fma71743,humeral lymph node,AS
http://purl.org/sig/ont/fma/fma8837,dorsal ramus of fourth lumbar spinal nerve,AS
http://purl.org/sig/ont/fma/fma6296,sixth thoracic spinal nerve,AS
http://purl.org/sig/ont/fma/fma4168,right second superior phrenic artery,AS
http://purl.org/sig/ont/fma/fma71841,pararectal lymph node,AS
http://purl.obolibrary.org/obo/UBERON_0004946,submucosa,AS
http://purl.obolibrary.org/obo/UBERON_0022276,splenic flexure,AS
http://purl.obolibrary.org/obo/UBERON_0003517,kidney blood vessel,AS
http://purl.obolibrary.org/obo/UBERON_0006544,vessels,AS
http://purl.obolibrary.org/obo/UBERON_0001899,epithalamus,AS
http://purl.obolibrary.org/obo/UBERON_0002943,lingual gyrus,AS
http://purl.org/sig/ont/fma/fma66049,branch of sacral nerve plexus to coccygeus,AS
http://purl.obolibrary.org/obo/UBERON_0006665,accessory hemiazygos vein,AS
http://purl.obolibrary.org/obo/UBERON_0002285,lateral ventricles,AS
http://purl.obolibrary.org/obo/UBERON_0001373,sartorius muscle,AS
http://purl.org/sig/ont/fma/fma52242,common cochlear artery,AS
http://purl.obolibrary.org/obo/UBERON_0000314,mucosa,AS
http://purl.obolibrary.org/obo/UBERON_0003982,ovulatory antral follicle,AS
http://purl.obolibrary.org/obo/UBERON_0004322,middle phalanx of digit of hand 4,AS
http://purl.obolibrary.org/obo/UBERON_0007634,parabrachial nuclei,AS
http://purl.obolibrary.org/obo/UBERON_0001145,ovarian vein,AS
http://purl.obolibrary.org/obo/UBERON_0002037,cerebellum,AS
http://purl.obolibrary.org/obo/UBERON_0000966,retina,AS
http://purl.org/sig/ont/fma/fma53243,inferior alveolar nerve,AS
http://purl.org/sig/ont/fma/fma76767,anterior cardiac veins,AS
http://purl.obolibrary.org/obo/UBERON_0001362,perineal vein,AS
http://purl.obolibrary.org/obo/UBERON_0001112,latissimus dorsi muscle,AS
http://purl.obolibrary.org/obo/UBERON_0026246,sacral spinal cord white matter,AS
http://purl.obolibrary.org/obo/UBERON_0005843,sacral spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0034982,inferior bulb of internal jugular vein,AS
http://purl.obolibrary.org/obo/UBERON_0035273,superior thoracic artery,AS
http://purl.obolibrary.org/obo/UBERON_0001451,navicular bone of foot,AS
http://purl.obolibrary.org/obo/UBERON_0001650,hypoglossal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001531,right common carotid artery,AS
http://purl.org/sig/ont/fma/fma44809,medial dorsal cutaneous nerve,AS
http://purl.org/sig/ont/fma/fma65296,lateral pectoral nerve,AS
http://purl.org/sig/ont/fma/fma19035,tibial nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001485,knee joint,AS
http://purl.obolibrary.org/obo/UBERON_0001414,median cubital vein,AS
http://purl.obolibrary.org/obo/UBERON_0001623,dorsal nasal artery,AS
http://purl.obolibrary.org/obo/UBERON_0002078,right atrium,AS
http://purl.obolibrary.org/obo/UBERON_0004989,mucosa,AS
http://purl.obolibrary.org/obo/UBERON_0001659,transverse facial vein #2,AS
http://purl.obolibrary.org/obo/UBERON_0001659,transverse facial vein,AS
http://purl.obolibrary.org/obo/UBERON_0002476,"globus pallidus, external",AS
http://purl.obolibrary.org/obo/UBERON_0010011,basal nuclei (basal ganglia),AS
http://purl.org/sig/ont/fma/fma77559,deep branch of radial nerve,AS
http://purl.org/sig/ont/fma/fma79972,nerve to abductor digiti minimi of foot,AS
http://purl.obolibrary.org/obo/UBERON_0000305,amnion,AS
http://purl.obolibrary.org/obo/UBERON_0001656,retromandibular vein,AS
http://purl.obolibrary.org/obo/UBERON_0001656,retromandibular vein #2,AS
http://purl.obolibrary.org/obo/UBERON_0012324,transverse cervical artery,AS
http://purl.obolibrary.org/obo/UBERON_0010946,occipitofrontalis muscle,AS
http://purl.obolibrary.org/obo/UBERON_0002048,lung,AS
http://purl.obolibrary.org/obo/UBERON_0000029,lymph node,AS
http://purl.obolibrary.org/obo/UBERON_0004601,rib 1,AS
http://purl.obolibrary.org/obo/UBERON_0001687,stapes bone,AS
http://purl.obolibrary.org/obo/UBERON_0001473,lymphatic vessels,AS
http://purl.obolibrary.org/obo/UBERON_0004086,ventricles of hindbrain,AS
http://purl.obolibrary.org/obo/UBERON_0002657,posterior parahippocampal gyrus,AS
http://purl.obolibrary.org/obo/UBERON_0002124,medulla of thymus,AS
http://purl.org/sig/ont/fma/fma65275,long thoracic nerve,AS
http://purl.obolibrary.org/obo/UBERON_0002962,adductor pollicis muscle,AS
http://purl.obolibrary.org/obo/UBERON_0001685,hyoid bone,AS
http://purl.obolibrary.org/obo/UBERON_0001891,midbrain (mesencephalon),AS
http://purl.obolibrary.org/obo/UBERON_0001534,right subclavian artery,AS
http://purl.obolibrary.org/obo/UBERON_0004723,interlobular renal artery,AS
http://purl.obolibrary.org/obo/UBERON_0001552,arcuate renal artery,AS
http://purl.org/sig/ont/fma/fma49916,left superior pulmonary vein,AS
http://purl.obolibrary.org/obo/UBERON_0000976,humerus,AS
http://purl.obolibrary.org/obo/UBERON_0001947,red nucleus,AS
http://purl.obolibrary.org/obo/UBERON_0001898,hypothalamus,AS
http://purl.obolibrary.org/obo/UBERON_0006454,t6 segment of thoracic spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0001579,olfactory nerve,AS
http://purl.obolibrary.org/obo/UBERON_0005215,interstitium,AS
http://purl.obolibrary.org/obo/UBERON_0004202,kidney outer medulla outer stripe,AS
http://purl.obolibrary.org/obo/UBERON_0001785,cranial nerve,AS
