s_iri,relationship,t_iri
http://purl.org/sig/ont/fma/fma14740,part_of,http://purl.obolibrary.org/obo/UBERON_0001516
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.obolibrary.org/obo/UBERON_0013132
https://purl.org/ccf/ASCTB-TEMP_dg205,located_in,http://purl.obolibrary.org/obo/UBERON_0001890
http://identifiers.org/hgnc/2479,characterize,http://purl.obolibrary.org/obo/CL_0000938
https://purl.org/ccf/ASCTB-TEMP_marginal-part-of-orbicularis-oris-muscle,part_of,http://purl.obolibrary.org/obo/UBERON_0010933
http://purl.obolibrary.org/obo/UBERON_0001619,part_of,http://purl.obolibrary.org/obo/UBERON_0001532
http://purl.obolibrary.org/obo/CL_0001035,located_in,https://purl.org/ccf/ASCTB-TEMP_vertebral-foramen-of-third-cervical-vertebra
https://purl.org/ccf/ASCTB-TEMP_cbi299,located_in,http://purl.obolibrary.org/obo/UBERON_0000955
https://purl.org/ccf/ASCTB-TEMP_ca13180,is_a,http://purl.obolibrary.org/obo/CL_4023060
https://purl.org/ccf/ASCTB-TEMP_jejunal-arcade,part_of,http://purl.obolibrary.org/obo/UBERON_0018255
http://purl.org/sig/ont/fma/fma50479,part_of,http://purl.obolibrary.org/obo/UBERON_0001627
https://purl.org/ccf/ASCTB-TEMP_bone-lining-cells,located_in,http://purl.obolibrary.org/obo/UBERON_0009980
http://identifiers.org/hgnc/11506,characterize,http://purl.obolibrary.org/obo/CL_0000171
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.org/sig/ont/fma/fma43934
http://purl.obolibrary.org/obo/CL_0000786,is_a,http://purl.obolibrary.org/obo/CL_0000945
http://purl.org/sig/ont/fma/fma80285,part_of,http://purl.obolibrary.org/obo/UBERON_0001492
http://identifiers.org/hgnc/45056,characterize,https://purl.org/ccf/ASCTB-TEMP_ca4193
http://purl.obolibrary.org/obo/PCL_0015089,located_in,http://purl.obolibrary.org/obo/UBERON_0001870
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.org/sig/ont/fma/fma4383
http://purl.obolibrary.org/obo/CL_0002062,located_in,http://purl.obolibrary.org/obo/UBERON_0008874
https://purl.org/ccf/ASCTB-TEMP_amex162,located_in,http://purl.obolibrary.org/obo/UBERON_0000955
http://purl.obolibrary.org/obo/CL_0000540,located_in,http://purl.org/sig/ont/fma/fma8822
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma44504
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.org/sig/ont/fma/fma22803
http://identifiers.org/hgnc/1639,characterize,http://purl.obolibrary.org/obo/CL_0000802
http://identifiers.org/hgnc/18351,characterize,https://purl.org/ccf/ASCTB-TEMP_mge256
http://identifiers.org/hgnc/4947,characterize,http://purl.obolibrary.org/obo/CL_0001056
https://purl.org/ccf/ASCTB-TEMP_vertebral-foramen-of-sixth-cervical-vertebra,part_of,http://purl.obolibrary.org/obo/UBERON_0004615
http://purl.obolibrary.org/obo/CL_0000872,located_in,http://purl.obolibrary.org/obo/UBERON_1000023
http://identifiers.org/hgnc/9666,characterize,http://purl.obolibrary.org/obo/CL_0000837
http://identifiers.org/hgnc/1667,characterize,http://purl.obolibrary.org/obo/CL_0000980
http://identifiers.org/hgnc/10499,characterize,http://purl.obolibrary.org/obo/CL_0000576
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0001561
http://identifiers.org/hgnc/3815,characterize,http://purl.obolibrary.org/obo/CL_0009074
http://purl.obolibrary.org/obo/CL_0000897,located_in,http://purl.obolibrary.org/obo/UBERON_0002006
https://purl.org/ccf/ASCTB-TEMP_splenic-stromal-sheath-cell,located_in,http://purl.obolibrary.org/obo/UBERON_0001250
http://identifiers.org/hgnc/49471,characterize,https://purl.org/ccf/ASCTB-TEMP_thex455
http://identifiers.org/hgnc/1569,characterize,https://purl.org/ccf/ASCTB-TEMP_semilunar-type-3-cell
http://purl.obolibrary.org/obo/PCL_0015010,located_in,http://purl.obolibrary.org/obo/UBERON_0019264
http://purl.obolibrary.org/obo/CL_0000169,is_a,http://purl.obolibrary.org/obo/CL_0008024
