iri,pref_label,type
http://identifiers.org/hgnc/6066,inhibin subunit beta A,BM
http://identifiers.org/hgnc/6067,inhibin subunit beta B,BM
http://identifiers.org/hgnc/6068,inhibin subunit beta C,BM
http://identifiers.org/hgnc/7124,melanA,BM
http://identifiers.org/hgnc/7124,melan-A,BM
http://identifiers.org/hgnc/10919,SLC14A2,BM
http://identifiers.org/hgnc/4579,GRIK1,BM
http://identifiers.org/hgnc/10940,solute carrier family 1 member 2,BM
http://identifiers.org/hgnc/2505,CTLA4,BM
http://identifiers.org/hgnc/4504,LGR5,BM
http://identifiers.org/hgnc/4504,Lgr5,BM
http://identifiers.org/hgnc/8004,NRP1,BM
http://identifiers.org/hgnc/8004,CD304,BM
http://identifiers.org/hgnc/1748,CDH1,BM
http://identifiers.org/hgnc/1748,E-cadherin,BM
http://identifiers.org/hgnc/17178,ADAMTS20,BM
http://identifiers.org/hgnc/14872,ASPN,BM
http://identifiers.org/hgnc/14872,Asporin proteoglycan,BM
http://identifiers.org/hgnc/13604,FBXL7,BM
http://identifiers.org/hgnc/5358,IRF8,BM
http://identifiers.org/hgnc/4172,GATA3,BM
http://identifiers.org/hgnc/4172,GATA-3,BM
http://identifiers.org/hgnc/4172,GATA binding protein 3,BM
http://identifiers.org/hgnc/51166,LINC01500,BM
http://identifiers.org/hgnc/3357,ENPP2,BM
http://identifiers.org/hgnc/3357,ENPP2+,BM
http://identifiers.org/hgnc/11068,SLC8A1,BM
http://identifiers.org/hgnc/6446,KRT8,BM
http://identifiers.org/hgnc/6446,keratin 8,BM
http://identifiers.org/hgnc/6446,CK8/18,BM
http://identifiers.org/hgnc/6446,Keratin 8,BM
http://identifiers.org/hgnc/2303,CPE,BM
http://identifiers.org/hgnc/2303,carboxypeptidase E,BM
http://identifiers.org/hgnc/8634,PBX3,BM
http://identifiers.org/hgnc/3611,FCER1G,BM
http://identifiers.org/hgnc/2358,CRHR2,BM
http://identifiers.org/hgnc/12335,TRPC3,BM
http://identifiers.org/hgnc/11892,TNF,BM
http://identifiers.org/hgnc/1912,CHAT,BM
http://identifiers.org/hgnc/1912,choline O-acetyltransferase,BM
http://identifiers.org/hgnc/30670,SV2C,BM
http://identifiers.org/hgnc/18683,EIF4A3,BM
http://identifiers.org/hgnc/1077,BMPR1B,BM
http://identifiers.org/hgnc/12578,UPK1B,BM
http://identifiers.org/hgnc/6143,ITGA7,BM
http://identifiers.org/hgnc/1954,CHRM5,BM
http://identifiers.org/hgnc/10929,SLC17A1,BM
http://identifiers.org/hgnc/1455,CALR,BM
http://identifiers.org/hgnc/1455,CRT,BM
http://identifiers.org/hgnc/5351,ICOS,BM
http://identifiers.org/hgnc/5351,ICOS+,BM
http://identifiers.org/hgnc/18111,CCDC50,BM
http://identifiers.org/hgnc/10024,RLBP1,BM
http://identifiers.org/hgnc/10024,cellular retinaldehyde-binding protein,BM
http://identifiers.org/hgnc/10024,retinaldehyde binding protein 1,BM
http://identifiers.org/hgnc/10294,RPE65,BM
http://identifiers.org/hgnc/12691,ezrin,BM
http://identifiers.org/hgnc/45169,ACTA2,BM
http://identifiers.org/hgnc/45169,ACTA2-AS1,BM
http://identifiers.org/hgnc/1384,calcium binding protein 1,BM
http://identifiers.org/hgnc/894,AVP,BM
http://identifiers.org/hgnc/17797,MAP3K20,BM
http://identifiers.org/hgnc/10449,RREB1,BM
http://identifiers.org/hgnc/2037,CLDN16,BM
http://identifiers.org/hgnc/8604,PAPSS2,BM
http://identifiers.org/hgnc/9393,PRKCA,BM
http://identifiers.org/hgnc/9393,protein kinase C alpha,BM
http://identifiers.org/hgnc/15813,PCDH11Y,BM
http://identifiers.org/hgnc/23792,PLD4,BM
http://identifiers.org/hgnc/11773,TGFBR2,BM
http://identifiers.org/hgnc/18864,KCNH8,BM
http://identifiers.org/hgnc/23317,ST8SIA6,BM
http://identifiers.org/hgnc/52483,LINC01695,BM
http://identifiers.org/hgnc/6134,ITGA1,BM
http://identifiers.org/hgnc/6134,CD49a / ITGA1,BM
http://identifiers.org/hgnc/2210,COL5A2,BM
http://identifiers.org/hgnc/23399,FREM1,BM
http://identifiers.org/hgnc/1765,CDH6,BM
http://identifiers.org/hgnc/12524,UGCG,BM
http://identifiers.org/hgnc/6463,KRT86,BM
http://identifiers.org/hgnc/11648,TCL1A,BM
http://identifiers.org/hgnc/11648,TCL1A+,BM
http://identifiers.org/hgnc/25026,PLPP5+,BM
http://identifiers.org/hgnc/2561,CXCR4,BM
http://identifiers.org/hgnc/2561,CXCR4+,BM
http://identifiers.org/hgnc/3612,FCER2,BM
http://identifiers.org/hgnc/3612,FCER2+,BM
http://identifiers.org/hgnc/3612,CD23,BM
http://identifiers.org/hgnc/3612,FCER2A,BM
http://identifiers.org/hgnc/5480,IGHD,BM
http://identifiers.org/hgnc/5480,IGHD+,BM
http://identifiers.org/hgnc/5480,IgD+,BM
http://identifiers.org/hgnc/5480,IgD,BM
http://identifiers.org/hgnc/5541,IgM,BM
http://identifiers.org/hgnc/5541,IGHM,BM
http://identifiers.org/hgnc/5541,IGHM+,BM
http://identifiers.org/hgnc/5541,IgM+,BM
http://identifiers.org/hgnc/598,APLP2+,BM
http://identifiers.org/hgnc/6015,IL4R,BM
http://identifiers.org/hgnc/6015,IL4R+,BM
http://identifiers.org/hgnc/7315,CD20,BM
http://identifiers.org/hgnc/7315,MS4A1,BM
http://identifiers.org/hgnc/7315,membrane spanning 4-domains A1,BM
http://identifiers.org/hgnc/7315,MS4A1+,BM
http://identifiers.org/hgnc/20657,TSPAN1,BM
http://identifiers.org/hgnc/11764,TG,BM
http://identifiers.org/hgnc/5019,HMX3,BM
http://identifiers.org/hgnc/6132,ISL1,BM
http://identifiers.org/hgnc/6132,Islet-1,BM
http://identifiers.org/hgnc/687,DIRAS3,BM
http://identifiers.org/hgnc/7397,MT1E,BM
http://identifiers.org/hgnc/11529,EPCAM,BM
http://identifiers.org/hgnc/11529,EpCAM,BM
http://identifiers.org/hgnc/11529,EpCAM(lo),BM
http://identifiers.org/hgnc/11529,EpCAM(hi),BM
http://identifiers.org/hgnc/12338,TRPC6,BM
http://identifiers.org/hgnc/15979,TP63,BM
http://identifiers.org/hgnc/3318,ELF3,BM
http://identifiers.org/hgnc/4027,FXYD3,BM
http://identifiers.org/hgnc/6442,KRT5,BM
http://identifiers.org/hgnc/6442,keratin 5,BM
http://identifiers.org/hgnc/7809,NGFR,BM
http://identifiers.org/hgnc/7809,CD271,BM
http://identifiers.org/hgnc/7809,nerve growth factor receptor,BM
http://identifiers.org/hgnc/7809,CD271+,BM
http://identifiers.org/hgnc/11005,SLC2A1,BM
http://identifiers.org/hgnc/24579,CIB2,BM
http://identifiers.org/hgnc/48603,SCHLAP1,BM
http://identifiers.org/hgnc/21694,POU6F2,BM
http://identifiers.org/hgnc/2355,CRH,BM
http://identifiers.org/hgnc/5977,IL15,BM
http://identifiers.org/hgnc/2045,CLDN3,BM
http://identifiers.org/hgnc/17013,CD160+,BM
http://identifiers.org/hgnc/28317,STK32A,BM
http://identifiers.org/hgnc/6653,LMX1A,BM
http://identifiers.org/hgnc/12729,WARS,BM
http://identifiers.org/hgnc/4602,CXCL1,BM
http://identifiers.org/hgnc/11045,SLC6A12,BM
http://identifiers.org/hgnc/5962,IL10,BM
http://identifiers.org/hgnc/4831,HBG1,BM
http://identifiers.org/hgnc/2389,CRYAB,BM
http://identifiers.org/hgnc/12726,VWF,BM
http://identifiers.org/hgnc/12726,vWF+,BM
http://identifiers.org/hgnc/12726,vWF,BM
http://identifiers.org/hgnc/1628,CD14,BM
http://identifiers.org/hgnc/1628,CD14-/lo,BM
http://identifiers.org/hgnc/1628,CD14+,BM
http://identifiers.org/hgnc/1662,CD34,BM
http://identifiers.org/hgnc/1662,CD34 molecule,BM
http://identifiers.org/hgnc/1662,CD34+,BM
http://identifiers.org/hgnc/1662,CD34hi,BM
http://identifiers.org/hgnc/1674,CD3,BM
http://identifiers.org/hgnc/1674,CD3E,BM
http://identifiers.org/hgnc/1674,CD3e,BM
http://identifiers.org/hgnc/1674,CD3+,BM
http://identifiers.org/hgnc/1706,CD8,BM
http://identifiers.org/hgnc/1706,CD8A,BM
http://identifiers.org/hgnc/1706,CD8a+,BM
http://identifiers.org/hgnc/1706,CD8a molecule,BM
http://identifiers.org/hgnc/1706,CD8a,BM
http://identifiers.org/hgnc/17905,FHOD1,BM
http://identifiers.org/hgnc/17905,FHOD1+,BM
http://identifiers.org/hgnc/2336,CCL21,BM
http://identifiers.org/hgnc/2336,CR2,BM
http://identifiers.org/hgnc/2336,CR2+,BM
http://identifiers.org/hgnc/2336,CD21,BM
http://identifiers.org/hgnc/4035,DARC,BM
http://identifiers.org/hgnc/4035,ACKR1,BM
http://identifiers.org/hgnc/4035,ACKR1+,BM
http://identifiers.org/hgnc/7228,MRC1,BM
http://identifiers.org/hgnc/7228,CD206,BM
http://identifiers.org/hgnc/8823,PECAM1,BM
http://identifiers.org/hgnc/8823,CD31,BM
http://identifiers.org/hgnc/8823,PECAM1+,BM
http://identifiers.org/hgnc/8823,platelet and endothelial cell adhesion molecule 1,BM
http://identifiers.org/hgnc/8823,PECAM1 (CD31),BM
http://identifiers.org/hgnc/9662,SIRPA,BM
http://identifiers.org/hgnc/9662,SIRPACD172a,BM
http://identifiers.org/hgnc/9662,CD172a,BM
http://identifiers.org/hgnc/9662,SIRPa,BM
http://identifiers.org/hgnc/6017,IL5RA,BM
http://identifiers.org/hgnc/6017,CD125,BM
http://identifiers.org/hgnc/9666,CD45,BM
http://identifiers.org/hgnc/9666,PTPRC,BM
http://identifiers.org/hgnc/9666,CD45RO,BM
http://identifiers.org/hgnc/9666,CD45RA,BM
http://identifiers.org/hgnc/9666,CD45lo,BM
http://identifiers.org/hgnc/9666,CD45RA(lo),BM
http://identifiers.org/hgnc/9666,CD45RAlo,BM
http://identifiers.org/hgnc/11843,TLL1,BM
http://identifiers.org/hgnc/3673,FGF17,BM
http://identifiers.org/hgnc/9080,PLN,BM
http://identifiers.org/hgnc/1036,BEX1,BM
http://identifiers.org/hgnc/2439,CSF3R,BM
http://identifiers.org/hgnc/1799,CDR2,BM
http://identifiers.org/hgnc/3341,EMX2,BM
http://identifiers.org/hgnc/8109,ODC1,BM
http://identifiers.org/hgnc/7036,MFGE8,BM
http://identifiers.org/hgnc/7036,MFGE8+,BM
http://identifiers.org/hgnc/4943,HLA-DQA2,BM
http://identifiers.org/hgnc/16709,CALCRL,BM
http://identifiers.org/hgnc/16953,POSTN,BM
http://identifiers.org/hgnc/16953,POSTN+,BM
http://identifiers.org/hgnc/52626,LINC01821,BM
http://identifiers.org/hgnc/3467,ESR1,BM
http://identifiers.org/hgnc/21637,SATB2,BM
http://identifiers.org/hgnc/800,Na/K ATPasea2,BM
http://identifiers.org/hgnc/2298,CPA3,BM
http://identifiers.org/hgnc/2298,CPA3+,BM
http://identifiers.org/hgnc/25735,VEPH1,BM
http://identifiers.org/hgnc/2545,CTSS,BM
http://identifiers.org/hgnc/2545,CTSS+,BM
http://identifiers.org/hgnc/6643,LMO3,BM
http://identifiers.org/hgnc/5200,HS3ST4,BM
http://identifiers.org/hgnc/5713,IGJ,BM
http://identifiers.org/hgnc/5713,JCHAIN,BM
http://identifiers.org/hgnc/5713,JCHAIN+,BM
http://identifiers.org/hgnc/1659,CD33,BM
http://identifiers.org/hgnc/1659,CD33(hi),BM
http://identifiers.org/hgnc/1659,CD33(lo),BM
http://identifiers.org/hgnc/14120,TPSB2,BM
http://identifiers.org/hgnc/5411,IFIT3,BM
http://identifiers.org/hgnc/3618,FCGR2B,BM
http://identifiers.org/hgnc/3618,FCGR2B+,BM
http://identifiers.org/hgnc/3618,CD32,BM
http://identifiers.org/hgnc/3618,CD32lo,BM
http://identifiers.org/hgnc/10658,SDC1,BM
http://identifiers.org/hgnc/10658,syndecan 1,BM
http://identifiers.org/hgnc/10658,CD138,BM
http://identifiers.org/hgnc/10658,SDC1+,BM
http://identifiers.org/hgnc/26683,LMNTD1,BM
http://identifiers.org/hgnc/1673,CD3D,BM
http://identifiers.org/hgnc/1673,CD3-TCR,BM
