iri,pref_label,type
http://purl.obolibrary.org/obo/CL_0000071,vascular endothelial cells,CT
http://purl.obolibrary.org/obo/CL_0000071,blood endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0000071,blood vessel endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0000071,endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0000071,smooth muscle cell,CT
http://purl.obolibrary.org/obo/CL_0002436,cd4+ t single positive thymocyte,CT
http://purl.obolibrary.org/obo/CL_0000188,skeletal muscle cell,CT
http://purl.obolibrary.org/obo/CL_0000188,skeletal muscle,CT
http://purl.obolibrary.org/obo/PCL_0015037,inh l1-5 vip linc01013,CT
http://purl.obolibrary.org/obo/CL_0000233,platelet,CT
http://purl.obolibrary.org/obo/CL_0002586,retinal pigmented epithelial cell,CT
http://purl.obolibrary.org/obo/CL_0002453,oligodendrocyte precursor cell,CT
http://purl.obolibrary.org/obo/CL_0000818,transitional immature b cells,CT
http://purl.obolibrary.org/obo/CL_0000818,transitional b cell,CT
https://purl.org/ccf/ASCTB-TEMP_reticular-cell-of-splenic-sinusoid,reticular cell of splenic sinusoid,CT
http://purl.obolibrary.org/obo/CL_0000882,macrophage,CT
http://purl.obolibrary.org/obo/CL_1001131,ascending vasa recta endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0002228,primary lens fiber,CT
http://purl.obolibrary.org/obo/CL_0002396,cd16 monocyte,CT
http://purl.obolibrary.org/obo/CL_0000553,early megakaryocyte (mk),CT
http://purl.obolibrary.org/obo/CL_0002543,endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0002543,venous endothelium,CT
http://purl.obolibrary.org/obo/CL_0002543,blood endothelial cells,CT
http://purl.obolibrary.org/obo/CL_0002543,endothelial cell of vein,CT
http://purl.obolibrary.org/obo/CL_0000127,astrocyte,CT
http://purl.obolibrary.org/obo/CL_4030017,distal convoluted tubule cell type 2,CT
http://purl.obolibrary.org/obo/PCL_0015053,inh l5-6 sst bean1,CT
http://purl.obolibrary.org/obo/CL_0000743,hypertrophic chondrocyte,CT
http://purl.obolibrary.org/obo/CL_0000743,hypertrophic chondrocytes,CT
http://purl.obolibrary.org/obo/CL_0019017,smooth muscle cell,CT
http://purl.obolibrary.org/obo/PCL_0015086,exc l3 rorb otogl,CT
http://purl.obolibrary.org/obo/PCL_0015075,exc l2 linc00507 glra3,CT
http://purl.obolibrary.org/obo/CL_0001006,dendritic cell (dc1),CT
http://purl.obolibrary.org/obo/CL_0001006,dendritic cell (dc2),CT
http://purl.obolibrary.org/obo/CL_0001006,dendritic cell (monocyte-derived),CT
http://purl.obolibrary.org/obo/CL_0001006,dendritic cell (migratory),CT
http://purl.obolibrary.org/obo/CL_4030022,medullary fibroblast,CT
https://purl.org/ccf/ASCTB-TEMP_astro59,astro_59,CT
http://purl.obolibrary.org/obo/CL_0002568,mesenchymal stromal cell of wharton's jelly,CT
https://purl.org/ccf/ASCTB-TEMP_dlnp89,dlnp_89,CT
http://purl.obolibrary.org/obo/PCL_0015101,exc l5-6 fezf2 c9orf135-as1,CT
https://purl.org/ccf/ASCTB-TEMP_splat425,splat_425,CT
http://purl.obolibrary.org/obo/CL_0000186,myofibroblast,CT
http://purl.obolibrary.org/obo/CL_0000186,myofibroblasts,CT
http://purl.obolibrary.org/obo/CL_0000826,pro b progenitor,CT
http://purl.obolibrary.org/obo/PCL_0015127,micro l1-6 tyrobp cd74,CT
http://purl.obolibrary.org/obo/CL_0000175,luteal cell,CT
http://purl.obolibrary.org/obo/CL_4028002,cap1 general capillary gcap,CT
https://purl.org/ccf/ASCTB-TEMP_splat389,splat_389,CT
https://purl.org/ccf/ASCTB-TEMP_amex405,amex_405,CT
http://purl.obolibrary.org/obo/CL_0000745,horizontal cell,CT
http://purl.obolibrary.org/obo/CL_0000746,cardiomyocyte,CT
http://purl.obolibrary.org/obo/CL_0004253,wide field cell,CT
http://purl.obolibrary.org/obo/PCL_0015003,inh l1-6 lamp5 aard,CT
http://purl.obolibrary.org/obo/PCL_0015095,exc l6 themis sln,CT
http://purl.obolibrary.org/obo/PCL_0015005,inh l1-6 lamp5 ca1,CT
http://purl.obolibrary.org/obo/PCL_0015122,astro l1-6 fgfr3 aqp1,CT
http://purl.obolibrary.org/obo/CL_0000970,memory b cell,CT
http://purl.obolibrary.org/obo/CL_0002201,intercalated cell type b,CT
http://purl.obolibrary.org/obo/CL_0001055,monocytes,CT
https://purl.org/ccf/ASCTB-TEMP_cbi299,cbi_299,CT
http://purl.obolibrary.org/obo/CL_0001054,cd14 monocyte,CT
http://purl.obolibrary.org/obo/CL_0002619,adult endothelial progenitor cell,CT
http://purl.obolibrary.org/obo/CL_0000057,fibroblast,CT
http://purl.obolibrary.org/obo/CL_0000057,fibroblasts,CT
http://purl.obolibrary.org/obo/CL_0010008,endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0010008,cardiac endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0002303,pigmented ciliary epithelial cell,CT
http://purl.obolibrary.org/obo/CL_0000236,b cell,CT
http://purl.obolibrary.org/obo/CL_0000236,b lymphocyte,CT
https://purl.org/ccf/ASCTB-TEMP_splat313,splat_313,CT
https://purl.org/ccf/ASCTB-TEMP_cge285,cge_285,CT
http://purl.obolibrary.org/obo/CL_0000165,neuroendocrine,CT
http://purl.obolibrary.org/obo/CL_0000165,neuroendocrine cell,CT
http://purl.obolibrary.org/obo/CL_0000499,stromal cell,CT
http://purl.obolibrary.org/obo/CL_0000499,splenic stromal cell (non-frc/non-fdc),CT
http://purl.obolibrary.org/obo/CL_0001062,cd8 t cell effector memory cd45ra,CT
http://purl.obolibrary.org/obo/PCL_0015088,exc l5 themis slc22a18,CT
http://purl.obolibrary.org/obo/CL_0009111,centrocyte,CT
http://purl.obolibrary.org/obo/CL_1000350,basal cell of epithelium of terminal bronchiole,CT
https://purl.org/ccf/ASCTB-TEMP_oligo50,oligo_50,CT
http://purl.obolibrary.org/obo/CL_4030011,proximal tubule cell epithelial segment 3,CT
http://purl.obolibrary.org/obo/CL_0002153,keratinocyte (corneocyte),CT
http://purl.obolibrary.org/obo/CL_0000096,neutrophil (normally intravascular only),CT
https://purl.org/ccf/ASCTB-TEMP_splat238,splat_238,CT
http://purl.obolibrary.org/obo/CL_0002620,fibroblast,CT
https://purl.org/ccf/ASCTB-TEMP_cge294,cge_294,CT
http://purl.obolibrary.org/obo/CL_0000097,mast cell,CT
http://purl.obolibrary.org/obo/CL_0000097,mast cells,CT
https://purl.org/ccf/ASCTB-TEMP_dlit144,dlit_144,CT
http://purl.obolibrary.org/obo/CL_0002340,luminal epithelia,CT
http://purl.obolibrary.org/obo/CL_0002341,basal epithelia,CT
http://purl.obolibrary.org/obo/CL_4030016,distal convoluted tubule cell type 1,CT
http://purl.obolibrary.org/obo/PCL_0015012,inh l1-2 vip htr3a,CT
http://purl.obolibrary.org/obo/PCL_0015094,exc l6 themis linc00343,CT
http://purl.obolibrary.org/obo/CL_0000883,macrophage,CT
http://purl.obolibrary.org/obo/PCL_0015082,exc l3 themis enpep,CT
http://purl.obolibrary.org/obo/CL_1001599,pancreas exocrine glandular cell,CT
http://purl.obolibrary.org/obo/PCL_0015044,inh l5-6 pvalb sst crhr2,CT
http://purl.obolibrary.org/obo/CL_0009011,transient amplifying cell,CT
http://purl.obolibrary.org/obo/CL_0001071,innate lymphoid cell 3,CT
http://purl.obolibrary.org/obo/CL_2000040,endothelium,CT
http://purl.obolibrary.org/obo/PCL_0015110,exc l5 fezf2 csn1s1,CT
http://purl.obolibrary.org/obo/CL_0000771,eosinophil,CT
http://purl.obolibrary.org/obo/CL_0000771,eosinophils,CT
http://purl.obolibrary.org/obo/CL_0009107,lymphatic endothelial cell -subcapsular sinus ceiling,CT
http://purl.obolibrary.org/obo/CL_1000279,muscle,CT
http://purl.obolibrary.org/obo/CL_0002313,neuroendocrine epithelia,CT
https://purl.org/ccf/ASCTB-TEMP_dlct6b107,dlct6b_107,CT
http://purl.obolibrary.org/obo/PCL_0015076,exc l2-3 rorb rtkn2,CT
http://purl.obolibrary.org/obo/CL_4033030,diffuse bipolar 3b cell,CT
https://purl.org/ccf/ASCTB-TEMP_llc275,llc_275,CT
https://purl.org/ccf/ASCTB-TEMP_astro55,astro_55,CT
https://purl.org/ccf/ASCTB-TEMP_bgl51,bgl_51,CT
https://purl.org/ccf/ASCTB-TEMP_l5et113,l5et_113,CT
http://purl.obolibrary.org/obo/PCL_0015030,inh l3-5 vip hs3st3a1,CT
http://purl.obolibrary.org/obo/CL_0000402,cns interneuron,CT
http://purl.obolibrary.org/obo/CL_0002138,lymphatic endothelium,CT
http://purl.obolibrary.org/obo/CL_0002138,ilf lymphatic endothelium,CT
http://purl.obolibrary.org/obo/CL_0002138,hepatic lymphatic endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,CT
http://purl.obolibrary.org/obo/CL_0002138,lymphatic endothelium cell,CT
http://purl.obolibrary.org/obo/CL_0002138,lymphatic,CT
http://purl.obolibrary.org/obo/CL_0002138,lymphatic endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0009086,endothelial cell of respiratory system lymphatic vessel,CT
http://purl.obolibrary.org/obo/CL_0000163,endocrine,CT
http://purl.obolibrary.org/obo/CL_0000163,endocrine lineage cell,CT
http://purl.obolibrary.org/obo/CL_0002038,t follicular helper cell,CT
http://purl.obolibrary.org/obo/CL_4033010,neuroendocrine cell of epithelium of lobar bronchus,CT
http://purl.obolibrary.org/obo/CL_0000824,mature natural killer,CT
http://purl.obolibrary.org/obo/CL_0000169,beta cell,CT
http://purl.obolibrary.org/obo/PCL_0015043,inh l5-6 sst isx,CT
http://purl.obolibrary.org/obo/CL_0000990,dendritic cell (classical),CT
http://purl.obolibrary.org/obo/CL_0000990,dendritic cell type 2 (dc2),CT
http://purl.obolibrary.org/obo/CL_0000990,conventional dc 1,CT
http://purl.obolibrary.org/obo/CL_0000990,dendritic cell type 1 (dc1),CT
https://purl.org/ccf/ASCTB-TEMP_dlct6b110,dlct6b_110,CT
https://purl.org/ccf/ASCTB-TEMP_cge296,cge_296,CT
http://purl.obolibrary.org/obo/CL_0000132,corneal endothelial cell,CT
http://purl.obolibrary.org/obo/CL_0000788,naive b cell,CT
http://purl.obolibrary.org/obo/PCL_0015100,exc l5 themis rgpd6,CT
http://purl.obolibrary.org/obo/PCL_0015120,oligo l2-6 opalin fth1p3,CT
https://purl.org/ccf/ASCTB-TEMP_dlnp87,dlnp_87,CT
http://purl.obolibrary.org/obo/CL_0000809,double positive thymocyte,CT
http://purl.obolibrary.org/obo/CL_0000895,naive cd4+ t cell,CT
http://purl.obolibrary.org/obo/CL_0000895,"naive thymus-derived cd4-positive, alpha-beta t cell",CT
http://purl.obolibrary.org/obo/CL_0000895,cd4 naive,CT
https://purl.org/ccf/ASCTB-TEMP_perineural-cell,perineural cell,CT
http://purl.obolibrary.org/obo/CL_1000768,connecting tubule cell,CT
http://purl.obolibrary.org/obo/CL_0000899,th17 cell,CT
https://purl.org/ccf/ASCTB-TEMP_url310,url_310,CT
https://purl.org/ccf/ASCTB-TEMP_splat373,splat_373,CT
http://purl.obolibrary.org/obo/CL_0009080,tuft cell,CT
http://purl.obolibrary.org/obo/CL_0009080,tuft cells,CT
https://purl.org/ccf/ASCTB-TEMP_splat354,splat_354,CT
http://purl.obolibrary.org/obo/CL_0009073,medullary thymic epithelial cell type 3,CT
