dataset_id,organ_gtex_id,donor_id,protocols_used,rin_score_from_paxgene,rin_score_from_frozen,organ,autolysis_score,sample_ischemic_time,sample_type,pathology_notes,source,dataset_hubmap_id,dataset_status,dataset_date_time_created,dataset_date_time_modified,dataset_data_types,dataset_portal_url,first_sample_hubmap_id,first_sample_submission_id,first_sample_uuid,first_sample_type,first_sample_portal_url,organ_hubmap_id,organ_submission_id,organ_uuid,donor_submission_id,donor_uuid,donor_group_name,rui_location_hubmap_id,rui_location_submission_id,rui_location_uuid,sample_metadata_hubmap_id,sample_metadata_submission_id,sample_metadata_uuid,processed_dataset_uuid,dataset_title,dataset_h5ad_path,dataset_total_cell_count,collection_id,collection_name,publication_doi,organ_ontology,anatomical_structure,anatomical_structure_ontology,suspension_type
7eef1634020f429f9855ff319ff0c65e,,HBM758.JRSC.348,,,,kidney (left),,,,,hubmap,HBM362.PTQJ.743,Published,5/18/2020 1:52,2/12/2022 4:35,PAS Stained Microscopy,https://portal.hubmapconsortium.org/browse/dataset/7eef1634020f429f9855ff319ff0c65e,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,"https://portal.hubmapconsortium.org/browse/dataset/eb975811a1a3005622c4da37d948117e,https://portal.hubmapconsortium.org/browse/dataset/23f1637a0a90fdd2a8feece44d00c22e",,,,,,,,,,
1d1a8376b558398588f92688314f23c5,,HBM758.JRSC.348,,,,kidney (left),,,,,hubmap,HBM739.JKQC.464,Published,5/18/2020 1:52,2/12/2022 4:54,MALDI IMS,https://portal.hubmapconsortium.org/browse/dataset/1d1a8376b558398588f92688314f23c5,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,https://portal.hubmapconsortium.org/browse/dataset/a9e97dfb17c7fe08a9c4590318955095,,,,,,,,,,
d4fae29feb0215a11b6e4d3072107e09,,HBM758.JRSC.348,,,,kidney (left),,,,,hubmap,HBM889.NSRP.924,Published,5/18/2020 1:52,2/12/2022 4:44,MALDI IMS,https://portal.hubmapconsortium.org/browse/dataset/d4fae29feb0215a11b6e4d3072107e09,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,https://portal.hubmapconsortium.org/browse/dataset/72d7f6895a34be4e0f43df278c675da2,,,,,,,,,,
0a6f5c1afbcc31622eb34daf88c2c016,,HBM758.JRSC.348,,,,kidney (left),,,,,hubmap,HBM529.NGCG.277,Published,5/18/2020 1:52,2/12/2022 15:19,Autofluorescence Microscopy,https://portal.hubmapconsortium.org/browse/dataset/0a6f5c1afbcc31622eb34daf88c2c016,HBM953.SQPG.639,VAN0007-LK-203-103,b8f8acd3659ac151092f6a8346150a06,section,https://portal.hubmapconsortium.org/browse/sample/b8f8acd3659ac151092f6a8346150a06,HBM865.MWHF.489,VAN0007-LK,8e90c3bfa86c1a363dbcfe39d18f38b6,VAN0007,96a667104f92a38f5d4f97c38d94e738,Vanderbilt TMC,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,HBM579.GDJB.858,VAN0007-LK-203,3a4b8bfca8e842cae400f49e19987c7c,https://portal.hubmapconsortium.org/browse/dataset/d0b944edce4f7fc2a61321d5dc915a72,,,,,,,,,,
3683b49e27133c064ccbd59ff9723e7c,,HBM638.SMWG.276,,,,spleen,,,,,hubmap,HBM472.NTNN.543,Published,12/18/2019 20:01,2/11/2022 19:53,scRNA-seq (10x Genomics v3),https://portal.hubmapconsortium.org/browse/dataset/3683b49e27133c064ccbd59ff9723e7c,HBM259.JWWT.889,UFL0002-SP-2-2,ed12b3e37fc8dcc4287f4f209eef9c4b,suspension,https://portal.hubmapconsortium.org/browse/sample/ed12b3e37fc8dcc4287f4f209eef9c4b,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,HBM259.JWWT.889,UFL0002-SP-2-2,ed12b3e37fc8dcc4287f4f209eef9c4b,HBM259.JWWT.889,UFL0002-SP-2-2,ed12b3e37fc8dcc4287f4f209eef9c4b,https://portal.hubmapconsortium.org/browse/dataset/35a639b983ff85728bdb3cbe0eac360a,,,,,,,,,,
efeae1a9895b88a4ccdbfa35dc98fdf2,,HBM638.SMWG.276,,,,spleen,,,,,hubmap,HBM968.CJLB.479,Published,3/18/2022 18:51,6/27/2022 17:29,CODEX,https://portal.hubmapconsortium.org/browse/dataset/efeae1a9895b88a4ccdbfa35dc98fdf2,HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,section,https://portal.hubmapconsortium.org/browse/sample/8d912783076037b57986afa62162f41d,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM688.DQGM.882,HBM338.TDRB.772","UFL0002-SP-2-4-1,UFL0002-SP-2-4","8d912783076037b57986afa62162f41d,6e23ef9bbe7940257bbc9383bf05b546",HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,https://portal.hubmapconsortium.org/browse/dataset/9358adf4674413a0e2ef1a970b66714e,,,,,,,,,,
e0ba24d0c4dab528e46aab3f67a1aae8,,HBM638.SMWG.276,,,,spleen,,,,,hubmap,HBM987.XGTH.368,Published,2/18/2020 16:16,2/11/2022 19:59,CODEX,https://portal.hubmapconsortium.org/browse/dataset/e0ba24d0c4dab528e46aab3f67a1aae8,HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,section,https://portal.hubmapconsortium.org/browse/sample/8d912783076037b57986afa62162f41d,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM688.DQGM.882,HBM338.TDRB.772","UFL0002-SP-2-4-1,UFL0002-SP-2-4","8d912783076037b57986afa62162f41d,6e23ef9bbe7940257bbc9383bf05b546",HBM688.DQGM.882,UFL0002-SP-2-4-1,8d912783076037b57986afa62162f41d,"https://portal.hubmapconsortium.org/browse/dataset/bf1e01bb3b747976fe59e2286448efeb,https://portal.hubmapconsortium.org/browse/dataset/29a16817f1337e0a0da1c3454ff99fe7",,,,,,,,,,
b7a2c05fdd9ddd0c83c9786ede98a24e,,HBM638.SMWG.276,,,,spleen,,,,,hubmap,HBM558.SRZG.629,Published,12/20/2019 19:41,2/11/2022 19:56,CODEX,https://portal.hubmapconsortium.org/browse/dataset/b7a2c05fdd9ddd0c83c9786ede98a24e,HBM827.VSGK.934,UFL0002-SP-3-4-1,3d0e6983c0c7e8354cb4bded851b15b1,section,https://portal.hubmapconsortium.org/browse/sample/3d0e6983c0c7e8354cb4bded851b15b1,HBM369.DGXL.358,UFL0002-SP,dd69e57643816e065ab04a8eec2b71b8,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM827.VSGK.934,HBM223.WQVG.533","UFL0002-SP-3-4-1,UFL0002-SP-3-4","3d0e6983c0c7e8354cb4bded851b15b1,19d486f0d168ef0d02291972fb669996",HBM827.VSGK.934,UFL0002-SP-3-4-1,3d0e6983c0c7e8354cb4bded851b15b1,"https://portal.hubmapconsortium.org/browse/dataset/37581089fc2b39aab823a3093bc1381b,https://portal.hubmapconsortium.org/browse/dataset/cd345bb3ea5e91ea915ac8e0e66d235b",,,,,,,,,,
4081680ef553db5f91fb3587dde595b6,,HBM638.SMWG.276,,,,thymus,,,,,hubmap,HBM373.RTKK.586,Published,12/18/2019 19:58,2/11/2022 19:53,scRNA-seq (10x Genomics v3),https://portal.hubmapconsortium.org/browse/dataset/4081680ef553db5f91fb3587dde595b6,HBM733.NFWS.792,UFL0002-TH-2-1,cc85586061c13a5fb6adf72c75a32cf9,suspension,https://portal.hubmapconsortium.org/browse/sample/cc85586061c13a5fb6adf72c75a32cf9,HBM585.FCXH.792,UFL0002-TH,1b6c9bf4ce99f6b91e6b9af1a208b6a0,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,HBM733.NFWS.792,UFL0002-TH-2-1,cc85586061c13a5fb6adf72c75a32cf9,HBM733.NFWS.792,UFL0002-TH-2-1,cc85586061c13a5fb6adf72c75a32cf9,https://portal.hubmapconsortium.org/browse/dataset/3ac0768d61c6c84f0ec59d766e123e05,,,,,,,,,,
776bd778f20409d8ce2dd8f5bf5789ae,,HBM638.SMWG.276,,,,thymus,,,,,hubmap,HBM246.VPVL.879,Published,2/21/2020 15:26,2/11/2022 20:01,CODEX,https://portal.hubmapconsortium.org/browse/dataset/776bd778f20409d8ce2dd8f5bf5789ae,HBM663.CXTS.935,UFL0002-TH-2-3-1,0ccf43ecc685e2ce2bd339fb87a240a2,section,https://portal.hubmapconsortium.org/browse/sample/0ccf43ecc685e2ce2bd339fb87a240a2,HBM585.FCXH.792,UFL0002-TH,1b6c9bf4ce99f6b91e6b9af1a208b6a0,UFL0002,3f66765e3561ee075f8b0d85c564b545,University of Florida TMC,"HBM663.CXTS.935,HBM389.MGXT.546","UFL0002-TH-2-3-1,UFL0002-TH-2-3","0ccf43ecc685e2ce2bd339fb87a240a2,8914ee0fd2e790f56b722640397bfb4d",HBM663.CXTS.935,UFL0002-TH-2-3-1,0ccf43ecc685e2ce2bd339fb87a240a2,"https://portal.hubmapconsortium.org/browse/dataset/0cc0ba032f21cf15af1290dd28bf1bd3,https://portal.hubmapconsortium.org/browse/dataset/b69d1e2ad1bf1455eee991fce301b191",,,,,,,,,,
