soa_funder_id,funder_name,country_code
https://openalex.org/F4320309241,Danforth Foundation,US
https://openalex.org/F4320309219,American Child Guidance Foundation,US
https://openalex.org/F4320318121,Friebe-Stiftung,DE
https://openalex.org/F4320312846,Society of Obstetric Medicine of Australia and New Zealand,AU
https://openalex.org/F4320312755,National Resource Center on Nutrition and Aging,US
https://openalex.org/F4320338191,"Zakład Neuroendokrynologii Doświadczalnej, Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk",PL
https://openalex.org/F4320333789,"Department of Ecology, Evolution, and Organismal Biology, Iowa State University",US
https://openalex.org/F4320330517,Stiftung Max und Sophielène Iten-Kohaut,CH
https://openalex.org/F4320317795,Fujian Provincial Health and Family Planning Commission,CN
https://openalex.org/F4320336393,"Dipartimento di Chirurgia Generale e Specialità Medico Chirurgiche, Università di Catania",IT
https://openalex.org/F4320310754,Abercrombie Foundation,CA
https://openalex.org/F4320313544,Champlain Local Health Integration Network,CA
https://openalex.org/F4320324909,Inge og Jørgen Larsens Mindelegat,DK
https://openalex.org/F4320332062,Friends of ANCHOR,GB
https://openalex.org/F4320331351,Perry Cross Spinal Research Foundation,AU
https://openalex.org/F4320327854,Teh-Tzer Study Group for Human Medical Research Foundation of Taiwan,TW
https://openalex.org/F4320315510,Modern Law Review,GB
https://openalex.org/F4320318156,Fondation Orange,FR
https://openalex.org/F4320329905,Abdul Hameed Shoman Foundation,JO
https://openalex.org/F4320333957,"Department of Pathology, Johns Hopkins University",US
https://openalex.org/F4320317712,Société Francophone Nutrition Clinique et Métabolisme,FR
https://openalex.org/F4320333075,"Office of Postdoctoral Education, University of Alabama at Birmingham",US
https://openalex.org/F4320333896,"Dipartimento di Ingegneria Chimica, dei Materiali e della Produzione Industriale, Università degli Studi di Napoli Federico II",IT
https://openalex.org/F4320328329,Centro Hospitalar Universitário do Porto,PT
https://openalex.org/F4320329379,Jabbs Foundation,GB
https://openalex.org/F4320317100,Fundación Prevent,ES
https://openalex.org/F4320331158,Behbahan Khatam Alanbia University of Technology,IR
https://openalex.org/F4320315763,Japan Society for Aeronautical and Space Sciences,JP
https://openalex.org/F4320334288,"Health Sciences, University of Arizona",US
https://openalex.org/F4320312364,AnnMari och Per Ahlqvists Stiftelse,SE
https://openalex.org/F4320335559,CHINA/UNESCO - the Great Wall Fellowship,CN
https://openalex.org/F4320329662,Research Foundation of Cardiovascular Medicine,TW
https://openalex.org/F4320337867,"Science and Technology Postgraduate Education and Research Development Office, Office of the Higher Education Commission",TH
https://openalex.org/F4320333945,Cecil H. and Ida Green Center for Reproductive Biology Sciences,US
https://openalex.org/F4320318501,International Myeloma Society,US
https://openalex.org/F4320312125,Nottingham City Primary Care Trust,GB
https://openalex.org/F4320315035,Boston Center for Endometriosis,US
https://openalex.org/F4320330554,John and Wendy Neu Foundation,US
https://openalex.org/F4320333203,"Liver Center, Saint Louis University",US
https://openalex.org/F4320308556,Wendy Will Case Cancer Fund,US
https://openalex.org/F4320328341,Stiftung für Kardiovaskuläre Forschung Basel,CH
https://openalex.org/F4320326155,Klinisch Chemisch Laboratorium,NL
https://openalex.org/F4320320711,New INDIGO,AT
https://openalex.org/F4320315377,HIV Center for Clinical and Behavioral Studies,US
https://openalex.org/F4320335883,Graduate Course Construction Project of Guangxi Medical University,CN
https://openalex.org/F4320312589,Chicago Developmental Center for AIDS Research,US
https://openalex.org/F4320315662,Fondation des pompiers du Québec pour les grands brûlés,CA
https://openalex.org/F4320335916,Health System Independent Innovation Science Foundation of Shanghai Putuo District,CN
https://openalex.org/F4320328560,British Council Italy,IT
https://openalex.org/F4320333157,"Division of Clinical Immunology and Rheumatology, University of Alabama at Birmingham",US
https://openalex.org/F4320330308,Carraresi Foundation,CA
https://openalex.org/F4320315407,Juvenile Diabetes Research Foundation Netherlands,NL
https://openalex.org/F4320316726,Cystic Fibrosis Research,US
https://openalex.org/F4320336353,"Pioneers in Health Care Innovation Fund, University of Twente",NL
https://openalex.org/F4320320453,Cancer and Bowel Research Trust,AU
https://openalex.org/F4320336460,"Research Institute of Medical Science, Catholic University of Daegu",KR
