soa_institution_id,ror,institution_name,institution_type,country_code
https://openalex.org/I16718484,https://ror.org/00zbk1w77,,company,US
https://openalex.org/I4210161538,https://ror.org/056tqzr82,,healthcare,JP
https://openalex.org/I4210128645,https://ror.org/03n2bnb89,,healthcare,ES
https://openalex.org/I4210111798,https://ror.org/027akq961,,nonprofit,FR
https://openalex.org/I4210153619,https://ror.org/05mmga691,,healthcare,FI
https://openalex.org/I4210137694,https://ror.org/04axy2g94,Euclid Public Library,archive,US
https://openalex.org/I4210150915,https://ror.org/04kz5w381,Family Health Enterprise,healthcare,US
https://openalex.org/I4210103974,https://ror.org/01h4n0g56,Amydis (United States),company,US
https://openalex.org/I4210116920,https://ror.org/02czagv77,SusChem,other,CZ
https://openalex.org/I4210132995,https://ror.org/02ptmys64,Korean Nuclear Society,other,KR
https://openalex.org/I4210162897,https://ror.org/01ar4p885,OnCyte (United States),company,US
https://openalex.org/I4210143293,https://ror.org/04zpgzj77,South East Health Technologies Alliance,healthcare,GB
https://openalex.org/I4210128141,https://ror.org/030j64f75,Neue Galerie Luzern,other,CH
https://openalex.org/I4210139318,https://ror.org/03am6ps88,Institute for Spatial Policies,nonprofit,SI
https://openalex.org/I4210091768,https://ror.org/00djr0052,Arkitektskap (Norway),company,NO
https://openalex.org/I4210154374,https://ror.org/05321n235,Kenter Jeugdhulp,other,NL
https://openalex.org/I4210100057,https://ror.org/010ab8p65,Hopkins Architects,other,GB
https://openalex.org/I4210150754,https://ror.org/0438mhy97,Egyptian Initiative for Personal Rights,nonprofit,EG
https://openalex.org/I4210154641,https://ror.org/04zahys21,National Association of Health Data Organizations,nonprofit,US
https://openalex.org/I4210147927,https://ror.org/04gsrry43,Hillhurst Biopharmaceuticals (United States),company,US
https://openalex.org/I4210143865,https://ror.org/048gkn792,Inversago Pharma (Canada),company,CA
https://openalex.org/I4210093025,https://ror.org/00f945z63,Institut Pythéas Observatoire des Sciences de l’Univers,facility,FR
https://openalex.org/I4210137256,https://ror.org/034v70z81,Medical Education Cooperation with Cuba,nonprofit,US
https://openalex.org/I4210103461,https://ror.org/019gg0j03,Nuvaira (United States),company,US
https://openalex.org/I4210089030,https://ror.org/008a62c70,Pacific Shellfish Institute,nonprofit,US
https://openalex.org/I4210163390,https://ror.org/05hsgsk03,Glaceum (South Korea),company,KR
https://openalex.org/I4210159512,https://ror.org/05dad0z78,ICM Chemnitz,facility,DE
https://openalex.org/I4210125065,https://ror.org/038zz3b86,AVM Biotechnology (United States),company,US
https://openalex.org/I4210109551,https://ror.org/01xhd2w58,Prescient Surgical (United States),company,US
https://openalex.org/I4210149218,https://ror.org/048yz1t88,Sergiyev Posad Humanitarian Institute,education,RU
https://openalex.org/I4210096482,https://ror.org/00wj7ww55,Deutscher Berufsverband der Hals-Nasen-Ohrenärzte e. V,other,DE
https://openalex.org/I4210130772,https://ror.org/03t810x25,Disruptive Materials (Sweden),company,SE
https://openalex.org/I4210098156,https://ror.org/00vsg4120,North Georgia Heart Foundation,nonprofit,US
https://openalex.org/I4210121293,https://ror.org/02n0ams94,Patriot Bible University,education,US
https://openalex.org/I4210086376,https://ror.org/00153ex82,Socotec (United Kingdom),company,GB
https://openalex.org/I4210161620,https://ror.org/05a5x4q14,BioAtla (United States),company,US
https://openalex.org/I4210123593,https://ror.org/03wfcm341,Nobilis Therapeutics (United States),company,US
https://openalex.org/I4210121375,https://ror.org/02j0qcn83,Institute for the Blind and Partially Sighted,education,DK
https://openalex.org/I4210115314,https://ror.org/029mp9w08,Opty,healthcare,BR
https://openalex.org/I4210111224,https://ror.org/01qv87150,European School of Haematology,education,FR
https://openalex.org/I4210130923,https://ror.org/02ygftm07,Pharmachem Laboratories (United States),company,US
https://openalex.org/I4210095235,https://ror.org/00q2tna33,Associazione della Croce Rossa Italiana,other,IT
https://openalex.org/I4210099423,https://ror.org/00tjfzj89,Sustainable Home Survey (United Kingdom),company,GB
https://openalex.org/I4210100357,https://ror.org/018g3kw79,The Marigold Foundation,nonprofit,CA
https://openalex.org/I4210091633,https://ror.org/00e39jm60,Curio,education,NL
https://openalex.org/I4210109477,https://ror.org/01hq2jk95,Bavarian State Archives,archive,DE
https://openalex.org/I4210152795,https://ror.org/05k551411,Racine Art Museum,archive,US
https://openalex.org/I4210131524,https://ror.org/036z25w18,Nemetschek Bulgaria (Bulgaria),company,BG
https://openalex.org/I2800805089,https://ror.org/01k7shx94,Andrew College,education,US
https://openalex.org/I4210092490,https://ror.org/00m8yma53,Architectural Design Agency,other,BG
https://openalex.org/I4210116514,https://ror.org/02an5qv02,Seoul University of Buddhism,education,KR
https://openalex.org/I4210122004,https://ror.org/03qjsg132,Gadeta (Netherlands),company,NL
https://openalex.org/I4210145159,https://ror.org/03edh2b12,Matsudo City Board of Education,government,JP
https://openalex.org/I4210118091,https://ror.org/01qypmk37,Abbott (Chile),company,CL
https://openalex.org/I4210157703,https://ror.org/04v8m3j75,Oyster Hospital,healthcare,IN
https://openalex.org/I4210124456,https://ror.org/02teymm57,Highline Medical Center,healthcare,US
https://openalex.org/I4210092691,https://ror.org/00jaqhx10,APDM (United States),company,US
https://openalex.org/I4210118642,https://ror.org/02fefk125,The Harris Center for Mental Health and IDD,healthcare,US
https://openalex.org/I4210102299,https://ror.org/00qjb4236,Information Technology Association of Canada,other,CA
https://openalex.org/I4210126438,https://ror.org/033nt4y02,Advance Concepts for Interactive Technology (Germany),company,DE
https://openalex.org/I4210092397,https://ror.org/00eexgx04,Dril Quip (United States),company,US
https://openalex.org/I4210127791,https://ror.org/039me2320,ValiRx (United Kingdom),company,GB
https://openalex.org/I4210104235,https://ror.org/00vx0am61,Kagoshima Medical Corporation Association Nursing College,education,JP
https://openalex.org/I2803056793,https://ror.org/05d692120,Lawson State Community College,education,US
https://openalex.org/I4210155375,https://ror.org/04gdd6b52,European Youth Information and Counselling Agency,nonprofit,LU
https://openalex.org/I4210124328,https://ror.org/0246zee65,Hals- Nasen- und Ohrenklinik Gießen,healthcare,DE
https://openalex.org/I4210108260,https://ror.org/01qkmhj58,Kao Corporation (United States),company,US
https://openalex.org/I4210096611,https://ror.org/00qtezm52,HealthUnlocked (United Kingdom),company,GB
https://openalex.org/I4210106865,https://ror.org/01t6xjs55,Exmar (Belgium),company,BE
https://openalex.org/I4210120864,https://ror.org/02mfb9z52,Geomin (Czechia),company,CZ
https://openalex.org/I4210134613,https://ror.org/03wcq4p61,Britannia Panopticon,nonprofit,GB
https://openalex.org/I4210131628,https://ror.org/037hryt76,iCons,company,IT
https://openalex.org/I4210164281,https://ror.org/05jekg408,InferLink (United States),company,US
https://openalex.org/I4210167303,https://ror.org/05sa51379,Birmingham Repertory Theatre,other,GB
https://openalex.org/I4210140295,https://ror.org/03h6f8g89,Seagarden (Norway),company,NO
https://openalex.org/I2802774681,https://ror.org/00h9jch39,Carey Baptist College,education,NZ
https://openalex.org/I4210161654,https://ror.org/053hax662,Padres Contra El Cáncer,nonprofit,US
https://openalex.org/I4210133346,https://ror.org/03ep0t884,ANGA Mechanical Seals (Poland),company,PL
https://openalex.org/I4210144649,https://ror.org/04yrw8521,Instituto Profesional Carlos Casanueva,education,CL
https://openalex.org/I4210139032,https://ror.org/04d6d4n84,Korean Beauty Society,other,KR
https://openalex.org/I4210135045,https://ror.org/03ha8dy44,NewAge (United States),company,US
https://openalex.org/I4210095137,https://ror.org/00hx3bk50,Icogenex (United States),company,US
https://openalex.org/I4210148828,https://ror.org/046w1bq45,Skellefteå Municipality,government,SE
https://openalex.org/I2800027067,https://ror.org/05n2jy464,Surgimed Hospital,healthcare,PK
https://openalex.org/I4210144014,https://ror.org/051q2fd34,Maisha Meds,healthcare,KE
https://openalex.org/I4210152977,https://ror.org/047z1nr02,Mesoestetic Pharma (Spain),company,ES
https://openalex.org/I4210094173,https://ror.org/00g11es29,SMK University of Applied Social Sciences,education,LT
